Site,Date,SC,Temp_C
Cut deep,6/4/20 9:13,2.2,18.4
Cut deep,6/4/20 9:16,2.2,18.1
Cut deep,6/4/20 9:19,2.5,17.9
Cut deep,6/4/20 9:22,2.2,17.6
Cut deep,6/4/20 9:25,3.9,17.5
Cut deep,6/4/20 9:28,2.4,17.3
Cut deep,6/4/20 9:31,1.6,17.3
Cut deep,6/4/20 9:34,2.2,17.2
Cut deep,6/4/20 9:37,2.4,17.2
Cut deep,6/4/20 9:40,3.9,17.1
Cut deep,6/4/20 9:43,2.4,17.1
Cut deep,6/4/20 9:46,2.2,17.1
Cut deep,6/4/20 9:49,2.4,17.1
Cut deep,6/4/20 9:52,2.4,17.2
Cut deep,6/4/20 9:55,2.4,17.2
Cut deep,6/4/20 9:58,2.4,17.2
Cut deep,6/4/20 10:01,2.2,17.3
Cut deep,6/4/20 10:04,2.4,17.3
Cut deep,6/4/20 10:07,2.4,17.4
Cut deep,6/4/20 10:10,2.4,17.4
Cut deep,6/4/20 10:13,2.3,17.5
Cut deep,6/4/20 10:16,2.3,17.5
Cut deep,6/4/20 10:19,2.3,17.6
Cut deep,6/4/20 10:22,2.2,17.7
Cut deep,6/4/20 10:25,2.2,17.8
Cut deep,6/4/20 10:28,2.3,17.9
Cut deep,6/4/20 10:31,3.6,18
Cut deep,6/4/20 10:34,3.9,18.2
Cut deep,6/4/20 10:37,2.2,18.4
Cut deep,6/4/20 10:40,2.2,18.6
Cut deep,6/4/20 10:43,2.2,18.8
Cut deep,6/4/20 10:46,2.3,19
Cut deep,6/4/20 10:49,2.2,20
Cut deep,6/4/20 10:52,2.3,20.4
Cut deep,6/4/20 10:55,3.9,19.4
Cut deep,6/4/20 10:58,16.1,5.1
Cut deep,6/4/20 11:01,14.6,3.6
Cut deep,6/4/20 11:04,13.9,3
Cut deep,6/4/20 11:07,13.5,2.8
Cut deep,6/4/20 11:10,13.3,2.8
Cut deep,6/4/20 11:13,13.2,2.8
Cut deep,6/4/20 11:16,13.1,2.8
Cut deep,6/4/20 11:19,13.1,2.8
Cut deep,6/4/20 11:22,13.1,2.8
Cut deep,6/4/20 11:25,13.1,2.8
Cut deep,6/4/20 11:28,13.1,2.8
Cut deep,6/4/20 11:31,13.1,2.8
Cut deep,6/4/20 11:34,13,2.8
Cut deep,6/4/20 11:37,13,2.8
Cut deep,6/4/20 11:40,13.1,2.8
Cut deep,6/4/20 11:43,13.1,2.8
Cut deep,6/4/20 11:46,13.1,2.8
Cut deep,6/4/20 11:49,13.1,2.8
Cut deep,6/4/20 11:52,13.1,2.8
Cut deep,6/4/20 11:55,13.1,2.8
Cut deep,6/4/20 11:58,13.1,2.8
Cut deep,6/4/20 12:01,13.1,2.8
Cut deep,6/4/20 12:04,13,2.8
Cut deep,6/4/20 12:07,13,2.8
Cut deep,6/4/20 12:10,13.1,2.8
Cut deep,6/4/20 12:13,13.1,2.8
Cut deep,6/4/20 12:16,13.1,2.8
Cut deep,6/4/20 12:19,13.1,2.8
Cut deep,6/4/20 12:22,13.1,2.8
Cut deep,6/4/20 12:25,13.1,2.8
Cut deep,6/4/20 12:28,13.1,2.8
Cut deep,6/4/20 12:31,13.1,2.8
Cut deep,6/4/20 12:34,13.1,2.8
Cut deep,6/4/20 12:37,13.1,2.8
Cut deep,6/4/20 12:40,13.1,2.8
Cut deep,6/4/20 12:43,13.1,2.8
Cut deep,6/4/20 12:46,13,2.8
Cut deep,6/4/20 12:49,13.1,2.8
Cut deep,6/4/20 12:52,13.1,2.8
Cut deep,6/4/20 12:55,13.1,2.8
Cut deep,6/4/20 12:58,13.1,2.8
Cut deep,6/4/20 13:01,13.1,2.8
Cut deep,6/4/20 13:04,13.1,2.8
Cut deep,6/4/20 13:07,13.1,2.8
Cut deep,6/4/20 13:10,13.1,2.8
Cut deep,6/4/20 13:13,13.1,2.8
Cut deep,6/4/20 13:16,13.1,2.8
Cut deep,6/4/20 13:19,13.1,2.8
Cut deep,6/4/20 13:22,13.1,2.8
Cut deep,6/4/20 13:25,13.1,2.8
Cut deep,6/4/20 13:28,13.1,2.8
Cut deep,6/4/20 13:31,13,2.8
Cut deep,6/4/20 13:34,13,2.8
Cut deep,6/4/20 13:37,13.1,2.8
Cut deep,6/4/20 13:40,13.1,2.8
Cut deep,6/4/20 13:43,13.1,2.8
Cut deep,6/4/20 13:46,13.1,2.8
Cut deep,6/4/20 13:49,13.1,2.8
Cut deep,6/4/20 13:52,13.1,2.8
Cut deep,6/4/20 13:55,13.1,2.8
Cut deep,6/4/20 13:58,13.1,2.8
Cut deep,6/4/20 14:01,13.1,2.8
Cut deep,6/4/20 14:04,13.1,2.8
Cut deep,6/4/20 14:07,13.1,2.8
Cut deep,6/4/20 14:10,13.1,2.8
Cut deep,6/4/20 14:13,13.1,2.8
Cut deep,6/4/20 14:16,13.1,2.8
Cut deep,6/4/20 14:19,13.1,2.8
Cut deep,6/4/20 14:22,13.1,2.8
Cut deep,6/4/20 14:25,13.1,2.8
Cut deep,6/4/20 14:28,13.1,2.8
Cut deep,6/4/20 14:31,13.1,2.8
Cut deep,6/4/20 14:34,13.1,2.8
Cut deep,6/4/20 14:37,13.1,2.8
Cut deep,6/4/20 14:40,13.1,2.8
