Location,Type,Date,DOC_mg_L
DHM,STREAM,5/5/20,3.46
DHM,STREAM,5/12/20,4.05
DHM,STREAM,5/19/20,
DHM,STREAM,5/26/20,
DHM,STREAM,6/1/20,
DHM,STREAM,6/9/20,
DHM,STREAM,6/16/20,
DHM,STREAM,6/23/20,
DHM,STREAM,6/25/20,
DHM,STREAM,6/30/20,
DHM,STREAM,7/2/20,
DHM,STREAM,7/7/20,
DHM,STREAM,7/9/20,
DHM,STREAM,7/14/20,
DHM,STREAM,7/16/20,
DHM,STREAM,7/21/20,
DHM,STREAM,7/28/20,
DHM,STREAM,7/30/20,
DHM,STREAM,8/4/20,
DHM,STREAM,8/11/20,
DHM,STREAM,8/12/20,
DHM,STREAM,8/18/20,
DHM,STREAM,8/25/20,
DHM,STREAM,9/1/20,
DHM,STREAM,9/9/20,
DHM,STREAM,9/14/20,
DHM,STREAM,9/21/20,
DHM,STREAM,9/24/20,
DHM,STREAM,9/28/20,
DHM,STREAM,10/6/20,
DHN,STREAM,4/28/20,1.85
DHN,STREAM,5/5/20,3.4
DHN,STREAM,5/12/20,5.63
DHN,STREAM,5/19/20,
DHN,STREAM,5/26/20,
DHN,STREAM,6/1/20,
DHN,STREAM,6/9/20,
DHN,STREAM,6/16/20,
DHN,STREAM,6/23/20,
DHN,STREAM,6/25/20,
DHN,STREAM,6/30/20,
DHN,STREAM,7/2/20,
DHN,STREAM,7/7/20,
DHN,STREAM,7/9/20,
DHN,STREAM,7/14/20,
DHN,STREAM,7/16/20,
DHN,STREAM,7/21/20,
DHN,STREAM,7/28/20,
DHN,STREAM,7/30/20,
DHN,STREAM,8/4/20,
DHN,STREAM,8/11/20,
DHN,STREAM,8/18/20,
DHN,STREAM,8/25/20,
DHN,STREAM,9/1/20,
DHN,STREAM,9/9/20,
DHN,STREAM,9/14/20,
DHN,STREAM,9/21/20,
DHN,STREAM,9/24/20,
DHN,STREAM,9/28/20,
DHN,STREAM,10/6/20,
DHS,STREAM,4/28/20,1.95
DHS,STREAM,4/28/20,1.94
DHS,STREAM,5/5/20,1.84
DHS,STREAM,5/12/20,2.05
DHS,STREAM,5/26/20,
DHS,STREAM,6/1/20,
DHS,STREAM,6/9/20,
DHS,STREAM,6/16/20,
DHS,STREAM,6/23/20,
DHS,STREAM,6/25/20,
DHS,STREAM,6/30/20,
DHS,STREAM,7/2/20,
DHS,STREAM,7/7/20,
DHS,STREAM,7/9/20,
DHS,STREAM,7/14/20,
DHS,STREAM,7/16/20,
DHS,STREAM,7/21/20,
DHS,STREAM,7/28/20,
DHS,STREAM,7/30/20,
DHS,STREAM,8/4/20,
DHS,STREAM,8/11/20,
DHS,STREAM,8/18/20,
DHS,STREAM,8/25/20,
DHS,STREAM,9/1/20,
DHS,STREAM,9/9/20,
DHS,STREAM,9/14/20,
DHS,STREAM,9/21/20,
DHS,STREAM,9/24/20,
DHS,STREAM,9/28/20,
DHS,STREAM,10/6/20,
ESLC,STREAM,4/28/20,1.81
ESLC,STREAM,5/5/20,3.55
ESLC,STREAM,5/13/20,5
ESLC,STREAM,5/20/20,
ESLC,STREAM,5/26/20,
ESLC,STREAM,6/1/20,
ESLC,STREAM,6/10/20,
ESLC,STREAM,6/17/20,
ESLC,STREAM,6/23/20,
ESLC,STREAM,6/25/20,
ESLC,STREAM,6/30/20,
ESLC,STREAM,7/2/20,
ESLC,STREAM,7/7/20,
ESLC,STREAM,7/9/20,
ESLC,STREAM,7/14/20,
ESLC,STREAM,7/16/20,
ESLC,STREAM,7/22/20,
ESLC,STREAM,7/28/20,
