Site,Type,Date,DOC_mg_L
DHM,Stream,5/5/20,3.46
DHM,Stream,5/12/20,4.05
DHM,Stream,5/19/20,
DHM,Stream,5/26/20,
DHM,Stream,6/1/20,
DHM,Stream,6/9/20,
DHM,Stream,6/16/20,
DHM,Stream,6/23/20,
DHM,Stream,6/25/20,
DHM,Stream,6/30/20,
DHM,Stream,7/2/20,
DHM,Stream,7/7/20,
DHM,Stream,7/9/20,
DHM,Stream,7/14/20,
DHM,Stream,7/16/20,
DHM,Stream,7/21/20,
DHM,Stream,7/28/20,
DHM,Stream,7/30/20,
DHM,Stream,8/4/20,
DHM,Stream,8/11/20,
DHM,Stream,8/12/20,
DHM,Stream,8/18/20,
DHM,Stream,8/25/20,
DHM,Stream,9/1/20,
DHM,Stream,9/9/20,
DHM,Stream,9/14/20,
DHM,Stream,9/21/20,
DHM,Stream,9/24/20,
DHM,Stream,9/28/20,
DHM,Stream,10/6/20,
DHN,Stream,4/28/20,1.85
DHN,Stream,5/5/20,3.4
DHN,Stream,5/12/20,5.63
DHN,Stream,5/19/20,
DHN,Stream,5/26/20,
DHN,Stream,6/1/20,
DHN,Stream,6/9/20,
DHN,Stream,6/16/20,
DHN,Stream,6/23/20,
DHN,Stream,6/25/20,
DHN,Stream,6/30/20,
DHN,Stream,7/2/20,
DHN,Stream,7/7/20,
DHN,Stream,7/9/20,
DHN,Stream,7/14/20,
DHN,Stream,7/16/20,
DHN,Stream,7/21/20,
DHN,Stream,7/28/20,
DHN,Stream,7/30/20,
DHN,Stream,8/4/20,
DHN,Stream,8/11/20,
DHN,Stream,8/18/20,
DHN,Stream,8/25/20,
DHN,Stream,9/1/20,
DHN,Stream,9/9/20,
DHN,Stream,9/14/20,
DHN,Stream,9/21/20,
DHN,Stream,9/24/20,
DHN,Stream,9/28/20,
DHN,Stream,10/6/20,
DHS,Stream,4/28/20,1.95
DHS,Stream,4/28/20,1.94
DHS,Stream,5/5/20,1.84
DHS,Stream,5/12/20,2.05
DHS,Stream,5/26/20,
DHS,Stream,6/1/20,
DHS,Stream,6/9/20,
DHS,Stream,6/16/20,
DHS,Stream,6/23/20,
DHS,Stream,6/25/20,
DHS,Stream,6/30/20,
DHS,Stream,7/2/20,
DHS,Stream,7/7/20,
DHS,Stream,7/9/20,
DHS,Stream,7/14/20,
DHS,Stream,7/16/20,
DHS,Stream,7/21/20,
DHS,Stream,7/28/20,
DHS,Stream,7/30/20,
DHS,Stream,8/4/20,
DHS,Stream,8/11/20,
DHS,Stream,8/18/20,
DHS,Stream,8/25/20,
DHS,Stream,9/1/20,
DHS,Stream,9/9/20,
DHS,Stream,9/14/20,
DHS,Stream,9/21/20,
DHS,Stream,9/24/20,
DHS,Stream,9/28/20,
DHS,Stream,10/6/20,
ESLC,Stream,4/28/20,1.81
ESLC,Stream,5/5/20,3.55
ESLC,Stream,5/13/20,5
ESLC,Stream,5/20/20,
ESLC,Stream,5/26/20,
ESLC,Stream,6/1/20,
ESLC,Stream,6/10/20,
ESLC,Stream,6/17/20,
ESLC,Stream,6/23/20,
ESLC,Stream,6/25/20,
ESLC,Stream,6/30/20,
ESLC,Stream,7/2/20,
ESLC,Stream,7/7/20,
ESLC,Stream,7/9/20,
ESLC,Stream,7/14/20,
ESLC,Stream,7/16/20,
ESLC,Stream,7/22/20,
ESLC,Stream,7/28/20,
ESLC,Stream,7/30/20,
ESLC,Stream,8/4/20,
ESLC,Stream,8/11/20,
ESLC,Stream,8/12/20,
ESLC,Stream,8/18/20,
ESLC,Stream,8/25/20,
ESLC,Stream,9/1/20,
