Site,Date,DOC_mg_L
DHM,5/5/20,3.46
DHM,5/12/20,4.05
DHM,5/19/20,
DHM,5/26/20,
DHM,6/1/20,
DHM,6/9/20,
DHM,6/16/20,
DHM,6/23/20,
DHM,6/25/20,
DHM,6/30/20,
DHM,7/2/20,
DHM,7/7/20,
DHM,7/9/20,
DHM,7/14/20,
DHM,7/16/20,
DHM,7/21/20,
DHM,7/28/20,
DHM,7/30/20,
DHM,8/4/20,
DHM,8/11/20,
DHM,8/12/20,
DHM,8/18/20,
DHM,8/25/20,
DHM,9/1/20,
DHM,9/9/20,
DHM,9/14/20,
DHM,9/21/20,
DHM,9/24/20,
DHM,9/28/20,
DHM,10/6/20,
DHN,4/28/20,1.85
DHN,5/5/20,3.4
DHN,5/12/20,5.63
DHN,5/19/20,
DHN,5/26/20,
DHN,6/1/20,
DHN,6/9/20,
DHN,6/16/20,
DHN,6/23/20,
DHN,6/25/20,
DHN,6/30/20,
DHN,7/2/20,
DHN,7/7/20,
DHN,7/9/20,
DHN,7/14/20,
DHN,7/16/20,
DHN,7/21/20,
DHN,7/28/20,
DHN,7/30/20,
DHN,8/4/20,
DHN,8/11/20,
DHN,8/18/20,
DHN,8/25/20,
DHN,9/1/20,
DHN,9/9/20,
DHN,9/14/20,
DHN,9/21/20,
DHN,9/24/20,
DHN,9/28/20,
DHN,10/6/20,
DHS,4/28/20,1.95
DHS,4/28/20,1.94
DHS,5/5/20,1.84
DHS,5/12/20,2.05
DHS,5/26/20,
DHS,6/1/20,
DHS,6/9/20,
DHS,6/16/20,
DHS,6/23/20,
DHS,6/25/20,
DHS,6/30/20,
DHS,7/2/20,
DHS,7/7/20,
DHS,7/9/20,
DHS,7/14/20,
DHS,7/16/20,
DHS,7/21/20,
DHS,7/28/20,
DHS,7/30/20,
DHS,8/4/20,
DHS,8/11/20,
DHS,8/18/20,
DHS,8/25/20,
DHS,9/1/20,
DHS,9/9/20,
DHS,9/14/20,
DHS,9/21/20,
DHS,9/24/20,
DHS,9/28/20,
DHS,10/6/20,
ESLC,4/28/20,1.81
ESLC,5/5/20,3.55
ESLC,5/13/20,5
ESLC,5/20/20,
ESLC,5/26/20,
ESLC,6/1/20,
ESLC,6/10/20,
ESLC,6/17/20,
ESLC,6/23/20,
ESLC,6/25/20,
ESLC,6/30/20,
ESLC,7/2/20,
ESLC,7/7/20,
ESLC,7/9/20,
ESLC,7/14/20,
ESLC,7/16/20,
ESLC,7/22/20,
ESLC,7/28/20,
ESLC,7/30/20,
ESLC,8/4/20,
ESLC,8/11/20,
ESLC,8/12/20,
ESLC,8/18/20,
ESLC,8/25/20,
ESLC,9/1/20,
ESLC,9/9/20,
ESLC,9/14/20,
ESLC,9/21/20,
ESLC,9/21/20,
ESLC,9/24/20,
ESLC,9/28/20,
ESLC,10/6/20,
LEX,4/28/20,0.81
LEX,5/5/20,2.57
LEX,5/12/20,2.44
LEX,5/19/20,
LEX,5/27/20,
LEX,6/1/20,
LEX,6/10/20,
LEX,6/16/20,
LEX,6/23/20,
LEX,6/25/20,
LEX,6/30/20,
LEX,7/2/20,
LEX,7/7/20,
LEX,7/9/20,
LEX,7/14/20,
LEX,7/16/20,
LEX,7/21/20,
LEX,7/28/20,
LEX,7/30/20,
LEX,8/4/20,
LEX,8/11/20,
LEX,8/12/20,
LEX,8/18/20,
LEX,8/25/20,
LEX,9/1/20,
LEX,9/9/20,
LEX,9/14/20,
LEX,9/21/20,
LEX,9/24/20,
LEX,9/28/20,
LEX,10/6/20,
LFC,4/28/20,2.28
LFC,5/5/20,4.86
LFC,5/13/20,5.82
LFC,5/20/20,
LFC,5/26/20,
LFC,6/1/20,
LFC,6/10/20,
LFC,6/16/20,
LFC,6/17/20,
LFC,6/23/20,
LFC,6/25/20,
LFC,6/30/20,
LFC,7/2/20,
LFC,7/7/20,
LFC,7/9/20,
LFC,7/14/20,
LFC,7/16/20,
LFC,7/22/20,
LFC,7/28/20,
LFC,7/30/20,
LFC,8/4/20,
LFC,8/11/20,
LFC,8/12/20,
LFC,8/18/20,
LFC,8/25/20,
LFC,9/1/20,
LFC,9/9/20,
LFC,9/14/20,
LFC,9/21/20,
LFC,9/24/20,
LFC,9/28/20,
LFC,10/6/20,
UFC,5/26/20,
UFC,6/1/20,
UFC,6/10/20,
UFC,6/16/20,
UFC,6/23/20,
UFC,6/25/20,
UFC,6/30/20,
UFC,7/2/20,
UFC,7/7/20,
UFC,7/9/20,
UFC,7/14/20,
UFC,7/16/20,
UFC,7/22/20,
UFC,7/28/20,
UFC,7/30/20,
UFC,8/4/20,
UFC,8/11/20,
UFC,8/12/20,
UFC,8/18/20,
UFC,8/25/20,
UFC,9/1/20,
UFC,9/10/20,
UFC,9/14/20,
UFC,9/24/20,
UFC,9/28/20,
UFC,10/6/20,
