Date,DOC_mg_L
5/5/20,3.46
5/12/20,4.05
5/19/20,
5/26/20,
6/1/20,
6/9/20,
6/16/20,
6/23/20,
6/25/20,
6/30/20,
7/2/20,
7/7/20,
7/9/20,
7/14/20,
7/16/20,
7/21/20,
7/28/20,
7/30/20,
8/4/20,
8/11/20,
8/12/20,
8/18/20,
8/25/20,
9/1/20,
9/9/20,
9/14/20,
9/21/20,
9/24/20,
9/28/20,
10/6/20,
4/28/20,1.85
5/5/20,3.4
5/12/20,5.63
5/19/20,
5/26/20,
6/1/20,
6/9/20,
6/16/20,
6/23/20,
6/25/20,
6/30/20,
7/2/20,
7/7/20,
7/9/20,
7/14/20,
7/16/20,
7/21/20,
7/28/20,
7/30/20,
8/4/20,
8/11/20,
8/18/20,
8/25/20,
9/1/20,
9/9/20,
9/14/20,
9/21/20,
9/24/20,
9/28/20,
10/6/20,
4/28/20,1.95
4/28/20,1.94
5/5/20,1.84
5/12/20,2.05
5/26/20,
6/1/20,
6/9/20,
6/16/20,
6/23/20,
6/25/20,
6/30/20,
7/2/20,
7/7/20,
7/9/20,
7/14/20,
7/16/20,
7/21/20,
7/28/20,
7/30/20,
8/4/20,
8/11/20,
8/18/20,
8/25/20,
9/1/20,
9/9/20,
9/14/20,
9/21/20,
9/24/20,
9/28/20,
10/6/20,
4/28/20,1.81
5/5/20,3.55
5/13/20,5
5/20/20,
5/26/20,
6/1/20,
6/10/20,
6/17/20,
6/23/20,
6/25/20,
6/30/20,
7/2/20,
7/7/20,
7/9/20,
7/14/20,
7/16/20,
7/22/20,
7/28/20,
7/30/20,
8/4/20,
8/11/20,
8/12/20,
8/18/20,
8/25/20,
9/1/20,
9/9/20,
9/14/20,
9/21/20,
9/21/20,
9/24/20,
9/28/20,
10/6/20,
4/28/20,0.81
5/5/20,2.57
5/12/20,2.44
5/19/20,
5/27/20,
6/1/20,
6/10/20,
6/16/20,
6/23/20,
6/25/20,
6/30/20,
7/2/20,
7/7/20,
7/9/20,
7/14/20,
7/16/20,
7/21/20,
7/28/20,
7/30/20,
8/4/20,
8/11/20,
8/12/20,
8/18/20,
8/25/20,
9/1/20,
9/9/20,
9/14/20,
9/21/20,
9/24/20,
9/28/20,
10/6/20,
4/28/20,2.28
5/5/20,4.86
5/13/20,5.82
5/20/20,
5/26/20,
6/1/20,
6/10/20,
6/16/20,
6/17/20,
6/23/20,
6/25/20,
6/30/20,
7/2/20,
7/7/20,
7/9/20,
7/14/20,
7/16/20,
7/22/20,
7/28/20,
7/30/20,
8/4/20,
8/11/20,
8/12/20,
8/18/20,
8/25/20,
9/1/20,
9/9/20,
9/14/20,
9/21/20,
9/24/20,
9/28/20,
10/6/20,
5/26/20,
6/1/20,
6/10/20,
6/16/20,
6/23/20,
6/25/20,
6/30/20,
7/2/20,
7/7/20,
7/9/20,
7/14/20,
7/16/20,
7/22/20,
7/28/20,
7/30/20,
8/4/20,
8/11/20,
8/12/20,
8/18/20,
8/25/20,
9/1/20,
9/10/20,
9/14/20,
9/24/20,
9/28/20,
10/6/20,
