Location,Cases,Deaths
Yellowstone County,"45,471",566
Gallatin County,"38,224",124
Flathead County,"31,051",290
Missoula County,"30,172",213
Cascade County,"26,791",351
Lewis and Clark County,"19,541",192
Silver Bow County,"9,041",134
Ravalli County,"7,536",165
Lake County,"7,254",102
Big Horn County,"5,124",100
Lincoln County,"5,089",90
Hill County,"4,779",73
Park County,"4,709",35
Glacier County,"4,210",75
Roosevelt County,"3,386",75
Custer County,"3,160",49
Jefferson County,"2,828",25
Deer Lodge County,"2,789",30
Richland County,"2,740",36
Rosebud County,"2,739",61
Fergus County,"2,613",57
Dawson County,"2,470",58
Beaverhead County,"2,278",30
Sanders County,"2,253",52
Blaine County,"2,207",33
Carbon County,"2,205",28
Madison County,"2,045",23
Powell County,"1,989",30
Valley County,"1,858",38
Stillwater County,"1,596",32
Teton County,"1,388",25
Broadwater County,"1,363",21
Toole County,"1,304",25
Pondera County,"1,291",9
Mineral County,"1,210",17
Phillips County,"1,089",29
Chouteau County,"1,074",15
Musselshell County,957,31
Sweet Grass County,824,13
Sheridan County,772,12
Fallon County,700,10
Granite County,589,10
Meagher County,481,10
Liberty County,438,4
Wheatland County,406,14
Daniels County,405,9
McCone County,397,9
Powder River County,375,10
Prairie County,273,3
Carter County,264,5
Judith Basin County,244,1
