TOA5,,CR800,43098,CR800.Std.32.02,CPU:CR800_WR417_COND_1459_5s.CR8,17980,Table1
TIMESTAMP,Time,RECORD,Cond_cor,Ct_raw,Temp_C,,
TS,,RN,mS/cm,mS/cm,Deg C,,
,,,Smp,Smp,Smp,,
14:37:30,0,19656,0.7423863,0.6397078,20.39,,
14:37:35,5,19657,0.7420796,0.6397078,20.4,,
14:37:40,10,19658,0.7442303,0.6397078,20.32,,
14:37:45,15,19659,0.7430004,0.6397078,20.37,,
14:37:50,20,19660,0.7447875,0.6399221,20.31,,
14:37:55,25,19661,0.7444797,0.6399221,20.32,,
14:38:00,30,19662,0.7444797,0.6399221,20.32,,
14:38:05,35,19663,0.7450955,0.6399221,20.29,,
14:38:10,40,19664,0.7457728,0.6397078,20.26,,
14:38:15,45,19665,0.7466395,0.6399221,20.24,,
14:38:20,50,19666,0.7462726,0.6401364,20.26,,
14:38:25,55,19667,0.7466395,0.6399221,20.24,,
14:38:30,60,19668,0.7468895,0.6401364,20.24,,
14:38:35,65,19669,0.7475092,0.6401364,20.21,,
14:38:40,70,19670,0.7456542,0.6401364,20.28,,
14:38:45,75,19671,0.7475092,0.6401364,20.21,,
14:38:50,80,19672,0.7475092,0.6401364,20.21,,
14:38:55,85,19673,0.7481282,0.6401364,20.19,,
14:39:00,90,19674,0.7487491,0.6401364,20.16,,
14:39:05,95,19675,0.7487515,0.6401364,20.16,,
14:39:10,100,19676,0.7481315,0.6401364,20.19,,
14:39:15,105,19677,0.7496828,0.6401364,20.13,,
14:39:20,110,19678,0.7493727,0.6401364,20.14,,
14:39:25,115,19679,0.7493727,0.6401364,20.14,,
14:39:30,120,19680,0.7496828,0.6401364,20.13,,
14:39:35,125,19681,0.7496828,0.6401364,20.13,,
14:39:40,130,19682,0.7487515,0.6401364,20.16,,
14:39:45,135,19683,0.7504964,0.6405652,20.12,,
14:39:50,140,19684,0.7503055,0.6401364,20.11,,
14:39:55,145,19685,0.7502454,0.6403509,20.12,,
14:40:00,150,19686,0.7508081,0.6405652,20.11,,
14:40:05,155,19687,0.7502454,0.6403509,20.12,,
14:40:10,160,19688,0.7502454,0.6403509,20.12,,
14:40:15,165,19689,0.749313,0.6403509,20.15,,
14:40:20,170,19690,0.7502454,0.6403509,20.12,,
14:40:25,175,19691,0.75112,0.6405652,20.09,,
14:40:30,180,19692,0.7508081,0.6405652,20.11,,
14:40:35,185,19693,0.7507728,0.6405317,20.11,,
14:40:40,190,19694,0.7507728,0.6405317,20.11,,
14:40:45,195,19695,0.7510839,0.6405317,20.09,,
14:40:50,200,19696,0.7498997,0.6403174,20.13,,
14:40:55,205,19697,0.7504612,0.6405317,20.12,,
14:41:00,210,19698,0.7511448,0.6403174,20.08,,
14:41:05,215,19699,0.7492171,0.6405317,20.16,,
14:41:10,220,19700,0.7501506,0.6405317,20.13,,
