TIMESTAMP,RECORD,SC_uS,SC_1,Ct_1,Ct_2,Temp_C
13:00:45,109064,-5.965647,-1.03774,0,-1.08,27.04
13:00:50,109065,-6.084316,-1.151559,-0.000123303,-1.197176,26.98
13:00:55,109066,-5.967959,-1.039957,0,-1.08,26.93
13:01:00,109067,-5.968247,-1.040234,0,-1.08,26.91
13:01:05,109068,-5.968536,-1.040511,0,-1.08,26.9
13:01:10,109069,-6.08688,-1.154019,-0.000123303,-1.197176,26.87
13:01:15,109070,-5.969405,-1.041344,0,-1.08,26.86
13:01:20,109071,-5.969694,-1.041621,0,-1.08,26.84
13:01:25,109072,-6.088162,-1.155248,-0.000123303,-1.197176,26.81
13:01:30,109073,-6.088804,-1.155864,-0.000123303,-1.197176,26.79
13:01:35,109074,-6.088804,-1.155864,-0.000123303,-1.197176,26.79
13:01:40,109075,-5.9723,-1.04412,0,-1.08,26.72
13:01:45,109076,-5.972589,-1.044398,0,-1.08,26.7
13:01:50,109077,-5.97317,-1.044955,0,-1.08,26.68
13:01:55,109078,-5.97346,-1.045233,0,-1.08,26.66
13:02:00,109079,-5.97404,-1.045789,0,-1.08,26.64
13:02:05,109080,-5.97462,-1.046346,0,-1.08,26.61
13:02:10,109081,-5.97491,-1.046624,0,-1.08,26.59
13:02:15,109082,-5.975491,-1.047181,0,-1.08,26.57
13:02:20,109083,-5.881275,-0.9568148,9.86E-05,-0.9862773,26.54
13:02:25,109084,-5.976943,-1.048573,0,-1.08,26.5
13:02:30,109085,-5.977512,-1.04912,0,-1.08,26.47
13:02:35,109086,-5.882591,-0.9580771,9.86E-05,-0.9862773,26.47
13:02:40,109087,-5.977512,-1.04912,0,-1.08,26.47
13:02:45,109088,-5.977222,-1.048841,0,-1.08,26.49
13:02:50,109089,-5.977512,-1.04912,0,-1.08,26.47
13:02:55,109090,-5.882856,-0.9583316,9.86E-05,-0.9862773,26.46
13:03:00,109091,-5.978384,-1.049957,0,-1.08,26.43
13:03:05,109092,767.2266,740.5623,0.7806107,760.9436,26.38
13:03:10,109093,21.25222,25.06802,0.02798381,25.51329,25.89
13:03:15,109094,10.20148,14.46881,0.01648557,14.5864,25.41
13:03:20,109095,795.6601,767.834,0.7876328,768.1818,25.02
13:03:25,109096,807.3129,779.0107,0.7899834,770.6053,24.46
13:03:30,109097,800.8931,772.8533,0.7759537,756.1448,23.92
13:03:35,109098,812.3283,783.8212,0.7780468,758.3016,23.37
13:03:40,109099,822.3805,793.4627,0.7789785,759.2616,22.84
13:03:45,109100,834.9724,805.54,0.7822453,762.6282,22.34
13:03:50,109101,844.1235,814.3173,0.7829464,763.3509,21.87
13:03:55,109102,850.0416,819.9936,0.7815444,761.9059,21.46
13:04:00,109103,862.9623,832.3864,0.7866939,767.2139,21.09
13:04:05,109104,872.2859,841.329,0.7890425,769.6353,20.74
13:04:10,109105,876.8315,845.6889,0.7878646,768.4207,20.43
13:04:15,109106,882.1177,850.759,0.7878646,768.4207,20.16
13:04:20,109107,883.6031,852.1838,0.7850498,765.519,19.92
13:04:25,109108,889.6933,858.0251,0.7864563,766.9689,19.69
13:04:30,109109,896.7272,864.7716,0.7888044,769.3897,19.49
13:04:35,109110,898.0576,866.0477,0.7862217,766.7271,19.27
13:04:40,109111,902.0107,869.8392,0.7859873,766.4854,19.06
13:04:45,109112,903.4501,871.2198,0.7838793,764.3124,18.86
13:04:50,109113,908.6829,876.2388,0.7850498,765.519,18.68
13:04:55,109114,909.9479,877.4521,0.7831774,763.589,18.51
13:05:00,109115,915.664,882.9347,0.7852841,765.7605,18.36
13:05:05,109116,915.9308,883.1906,0.7831774,763.589,18.23
13:05:10,109117,918.5769,885.7286,0.7831774,763.589,18.11
13:05:15,109118,918.9974,886.1318,0.7817751,762.1437,18
13:05:20,109119,921.7056,888.7294,0.7820086,762.3844,17.89
13:05:25,109120,925.9413,892.7921,0.7836453,764.0712,17.79
13:05:30,109121,928.1332,894.8944,0.7836453,764.0712,17.69
13:05:35,109122,928.3173,895.071,0.7822423,762.6252,17.6
13:05:40,109123,932.24,898.8334,0.7834113,763.8301,17.49
13:05:45,109124,931.6393,898.2573,0.7817751,762.1437,17.42
13:05:50,109125,932.7067,899.2811,0.7810718,761.4189,17.33
13:05:55,109126,934.129,900.6453,0.7808384,761.1783,17.26
13:06:00,109127,936.4481,902.8696,0.7813054,761.6595,17.18
13:06:05,109128,937.6312,904.0043,0.7810718,761.4189,17.11
13:06:10,109129,939.4133,905.7136,0.7813054,761.6595,17.05
13:06:15,109130,940.3532,906.6151,0.7810718,761.4189,16.99
13:06:20,109131,942.1917,908.3784,0.7815388,761.9001,16.94
13:06:25,109132,942.887,909.0454,0.7813054,761.6595,16.89
13:06:30,109133,943.8823,909.9999,0.7813054,761.6595,16.85
13:06:35,109134,943.6792,909.8052,0.7803718,760.6974,16.81
13:06:40,109135,944.3759,910.4734,0.7801385,760.457,16.76
13:06:45,109136,945.3737,911.4305,0.7801385,760.457,16.72
13:06:50,109137,946.0723,912.1005,0.7799053,760.2167,16.67
13:06:55,109138,946.8222,912.8198,0.7799053,760.2167,16.64
13:07:00,109139,947.8738,913.8284,0.7801385,760.457,16.61
13:07:05,109140,948.3242,914.2604,0.7799053,760.2167,16.58
13:07:10,109141,948.7747,914.6924,0.7796721,759.9763,16.54
13:07:15,109142,949.5782,915.4632,0.7799053,760.2167,16.52
13:07:20,109143,950.0801,915.9445,0.7799053,760.2167,16.5
13:07:25,109144,950.8342,916.6678,0.7799053,760.2167,16.47
13:07:30,109145,951.0814,916.905,0.7799032,760.2146,16.46
13:07:35,109146,951.5848,917.3878,0.7799032,760.2146,16.43
13:07:40,109147,952.0881,917.8705,0.7799032,760.2146,16.41
13:07:45,109148,952.5912,918.353,0.7799032,760.2146,16.39
13:07:50,109149,953.0963,918.8375,0.7799032,760.2146,16.37
13:07:55,109150,953.6003,919.321,0.7799032,760.2146,16.35
13:08:00,109151,953.802,919.5144,0.7796701,759.9744,16.32
13:08:05,109152,954.105,919.8051,0.7799032,760.2146,16.32
13:08:10,109153,954.6102,920.2896,0.7799032,760.2146,16.3
13:08:15,109154,954.8634,920.5324,0.7799032,760.2146,16.29
13:08:20,109155,955.4194,921.0657,0.7801365,760.4549,16.28
13:08:25,109156,955.6722,921.3082,0.7801365,760.4549,16.27
13:08:30,109157,955.9252,921.5508,0.7801365,760.4549,16.26
13:08:35,109158,955.9252,921.5508,0.7801365,760.4549,16.26
13:08:40,109159,956.1276,921.745,0.7799032,760.2146,16.24
13:08:45,109160,956.4315,922.0364,0.7801365,760.4549,16.24
13:08:50,109161,956.6848,922.2794,0.7801365,760.4549,16.23
13:08:55,109162,956.6848,922.2794,0.7801365,760.4549,16.23
13:09:00,109163,956.9382,922.5225,0.7801365,760.4549,16.22
13:09:05,109164,957.2422,922.814,0.7803697,760.6953,16.22
13:09:10,109165,957.1901,922.7641,0.7801347,760.4531,16.21
13:09:15,109166,957.4943,923.0558,0.7803679,760.6934,16.21
13:09:20,109167,957.7481,923.2993,0.7803679,760.6934,16.19
13:09:25,109168,957.7481,923.2993,0.7803679,760.6934,16.19
13:09:30,109169,958.0014,923.5422,0.7803679,760.6934,16.18
13:09:35,109170,958.0014,923.5422,0.7803679,760.6934,16.18
13:09:40,109171,958.3056,923.834,0.7806012,760.9338,16.18
13:09:45,109172,958.3056,923.834,0.7806012,760.9338,16.18
13:09:50,109173,958.3056,923.834,0.7806012,760.9338,16.18
13:09:55,109174,958.6101,924.126,0.7808346,761.1744,16.18
13:10:00,109175,958.8643,924.3699,0.7808346,761.1744,16.17
13:10:05,109176,959.1689,924.662,0.781068,761.4149,16.17
13:10:10,109177,959.1689,924.662,0.781068,761.4149,16.17
13:10:15,109178,958.8643,924.3699,0.7808346,761.1744,16.17
13:10:20,109179,959.4227,924.9054,0.781068,761.4149,16.16
13:10:25,109180,959.4227,924.9054,0.781068,761.4149,16.16
13:10:30,109181,959.7274,925.1977,0.7813014,761.6555,16.16
13:10:35,109182,959.4227,924.9054,0.781068,761.4149,16.16
13:10:40,109183,959.4227,924.9054,0.781068,761.4149,16.16
13:10:45,109184,959.7274,925.1977,0.7813014,761.6555,16.16
13:10:50,109185,959.6754,925.1478,0.7812594,761.6122,16.16
13:10:55,109186,959.6754,925.1478,0.7812594,761.6122,16.16
13:11:00,109187,959.6754,925.1478,0.7812594,761.6122,16.16
13:11:05,109188,959.6754,925.1478,0.7812594,761.6122,16.16
13:11:10,109189,959.6754,925.1478,0.7812594,761.6122,16.16
13:11:15,109190,959.6754,925.1478,0.7812594,761.6122,16.16
13:11:20,109191,959.6754,925.1478,0.7812594,761.6122,16.16
13:11:25,109192,959.6754,925.1478,0.7812594,761.6122,16.16
13:11:30,109193,959.6754,925.1478,0.7812594,761.6122,16.16
13:11:35,109194,959.6754,925.1478,0.7812594,761.6122,16.16
13:11:40,109195,959.6754,925.1478,0.7812594,761.6122,16.16
13:11:45,109196,959.6754,925.1478,0.7812594,761.6122,16.16
13:11:50,109197,959.9802,925.4401,0.7814929,761.8529,16.16
13:11:55,109198,959.9802,925.4401,0.7814929,761.8529,16.16
13:12:00,109199,960.2849,925.7324,0.7817264,762.0935,16.16
13:12:05,109200,960.5898,926.0248,0.78196,762.3342,16.16
13:12:10,109201,960.2849,925.7324,0.7817264,762.0935,16.16
13:12:15,109202,960.2849,925.7324,0.7817264,762.0935,16.16
13:12:20,109203,960.2849,925.7324,0.7817264,762.0935,16.16
13:12:25,109204,960.5898,926.0248,0.78196,762.3342,16.16
13:12:30,109205,960.5517,925.9883,0.7819265,762.2996,16.16
13:12:35,109206,960.2977,925.7446,0.7819265,762.2996,16.17
