gage_height_va,discharge_va
7.07,4060
7.4,4450
7.65,4740
2.96,80.7
2.85,43
3.02,88
2.8,43.2
3.27,87.5
2.75,65.2
2.38,5.66
2.6,35.1
2.92,114
3.63,390
2.35,7.51
2.34,4.3
2.5,21
2.39,6.95
2.39,4.52
,19.2
2.37,5.61
2.38,6.12
2.57,30.8
3.19,223
3.17,214
5.88,2710
3.72,361
2.53,5.59
2.65,15.7
2.58,4.94
2.65,11
2.64,11.6
2.68,11.6
2.64,14.1
2.65,17.2
2.6,11.6
3.7,401
2.66,18.6
2.54,8.82
2.51,5.12
2.58,4.87
2.56,4.83
2.6,5.64
2.57,5.38
,4.59
,7.32
2.58,10.3
2.56,5.65
3.02,94.2
3.28,209
2.42,3.51
2.42,2.78
2.48,4.34
2.56,2.93
2.68,4.58
2.58,7.09
2.49,5.27
2.56,7.7
2.54,9.09
2.55,8.16
2.48,5.96
2.73,31.9
2.48,6.33
2.46,5.25
2.46,5.47
2.5,4.34
2.54,5.53
,4.48
,4.52
2.52,8.67
3.73,410
2.5,4.97
4.86,1170
2.5,6.24
2.46,4.7
2.45,3.11
2.46,3.4
2.47,4.39
2.47,4.49
2.53,3.52
2.53,4.7
2.51,3.41
2.51,3.53
,3.98
2.45,4.12
2.46,3.67
2.44,2.81
2.48,2.94
2.48,2.99
2.52,4.42
6.72,2950
5.7,1480
3.98,487
2.49,6.89
2.46,4.2
2.55,3.25
2.54,5.79
2.53,4.1
2.39,3.93
2.51,4.02
2.52,10.1
2.48,7.38
3.96,507
4.08,744
2.44,5.13
2.42,4.72
2.48,4.02
2.58,3.9
2.62,6.92
2.55,5.45
2.52,7.2
2.55,6.69
2.56,8.48
2.82,6.02
3.83,443
3.52,355
2.66,36.7
2.47,5.82
3.1,6.13
3.17,5.1
3.2,5.18
3.17,4.74
3.13,4.58
3.08,5.2
3.46,3.32
3.47,5.08
5.13,256
3.5,5.08
3.52,6.08
3.87,30.9
3.58,4.01
3.57,4.62
3.55,4.19
3.56,3.72
3.54,3.51
3.52,3.52
3.64,8.52
3.57,3.89
3.77,14.3
9.48,2990
7.94,1610
4.68,151
4.15,58.1
3.54,5.57
3.51,3.58
3.53,4.74
3.54,4.91
4.14,53.2
4.06,44.4
3.57,6.61
4.89,202
6.39,737
4.51,120
3.75,15.6
3.63,7.64
3.91,24.9
4.12,44.9
3.92,27.2
3.58,5.21
3.82,18
3.7,9.69
3.56,4.55
4.65,124
8.8,2180
4.35,80.7
5.79,489
4.5,116
4.7,152
4.87,181
4.68,144
,33.7
3.9,25.2
4.45,103
4.58,131
4.96,212
5.72,500
4.6,144
4.47,95.8
3.6,5.77
3.59,5.89
4.15,51.5
3.84,16.7
4.34,78.4
4.2,48.6
4.26,59.1
3.68,8.95
11.13,7200
6.7,894
3.03,11.2
3.57,60.9
3.43,41.3
3.13,14.3
3.08,10.3
3.73,78.3
3.58,47.9
3.61,55.6
3.8,73.2
3.04,8.56
2.98,6.75
5.43,502
4.02,119
3.71,62.2
2.9,3.88
2.91,2.93
2.87,2.12
3.01,6.25
3,5.38
2.95,7.28
2.95,4.7
2.96,4.85
3.2,10.7
4.14,148
3.13,10.9
2.95,4.54
2.93,4.33
2.95,3.97
2.96,3.52
2.95,2.7
2.92,2.43
2.88,2.77
2.9,2.92
2.89,2.51
2.88,2.04
4.82,278
3.62,56.1
2.81,3.04
2.81,2.4
3.04,7.4
2.9,3.82
2.88,1.97
2.9,1.86
2.87,2.43
2.88,2.56
2.95,4.51
2.93,4.88
3.02,6.92
4.35,293
2.84,18
2.33,7.1
2.87,33
2.52,11.6
2.21,1.76
