date,tmax,tmin
1/1/2019,-9.4,-16.1
1/2/2019,6.1,-18.3
1/3/2019,13.9,-11.1
1/4/2019,15.6,-6.7
1/5/2019,15,-6.1
1/6/2019,15,-2.8
1/7/2019,11.7,-3.9
1/8/2019,7.2,-7.2
1/9/2019,3.9,-6.1
1/10/2019,13.3,-2.8
1/11/2019,5.6,1.7
1/12/2019,7.8,-0.6
1/13/2019,6.7,-7.8
1/14/2019,11.1,-11.1
1/15/2019,11.7,-8.9
1/16/2019,9.4,-2.2
1/17/2019,10.6,-3.3
1/18/2019,10.6,-1.1
1/19/2019,7.2,-6.7
1/20/2019,9.4,-3.3
1/21/2019,9.4,-6.1
1/22/2019,5.6,-5
1/23/2019,5,-10
1/24/2019,2.2,-7.8
1/25/2019,2.8,-11.7
1/26/2019,8.3,-8.9
1/27/2019,15.6,-5
1/28/2019,11.7,-5
1/29/2019,1.1,-11.7
1/30/2019,6.1,-13.9
1/31/2019,11.1,-8.3
2/1/2019,14.4,-7.2
2/2/2019,16.1,-7.2
2/3/2019,18.9,-1.1
2/4/2019,10,-2.2
2/5/2019,5.6,-7.2
2/6/2019,0.6,-14.4
2/7/2019,-11.7,-19.4
2/8/2019,0.6,-20
2/9/2019,4.4,-15
2/10/2019,-1.1,-8.9
2/11/2019,5.6,-12.8
2/12/2019,10,-3.9
2/13/2019,16.1,-2.2
2/14/2019,13.9,-1.1
2/15/2019,10,-5.6
2/16/2019,6.7,-7.8
2/17/2019,1.1,-8.9
2/18/2019,-7.2,-14.4
2/19/2019,-5.6,-11.7
2/20/2019,3.3,-13.9
2/21/2019,2.2,-10.6
2/22/2019,-2.2,-7.2
2/23/2019,6.7,-8.3
2/24/2019,10,-2.2
2/25/2019,11.1,-9.4
2/26/2019,10.6,-8.9
2/27/2019,4.4,-9.4
2/28/2019,10.6,-8.9
3/1/2019,11.1,-4.4
3/2/2019,3.9,-12.8
3/3/2019,-12.2,-18.3
3/4/2019,-6.1,-22.8
3/5/2019,-0.6,-18.3
3/6/2019,4.4,-6.1
3/7/2019,5,-3.9
3/8/2019,8.3,-5.6
3/9/2019,11.1,1.1
3/10/2019,10,-3.9
3/11/2019,10.6,-3.9
3/12/2019,16.1,-1.7
3/13/2019,12.8,-2.8
3/14/2019,3.9,-2.2
3/15/2019,7.2,-9.4
3/16/2019,8.9,-6.1
3/17/2019,12.8,-4.4
3/18/2019,10.6,-2.2
3/19/2019,9.4,-2.2
3/20/2019,16.7,-6.7
3/21/2019,15.6,-3.3
3/22/2019,13.9,2.2
3/23/2019,9.4,3.9
3/24/2019,14.4,-2.8
3/25/2019,16.1,2.8
3/26/2019,19.4,-1.1
3/27/2019,21.1,2.8
3/28/2019,16.7,2.2
3/29/2019,5.6,0.6
3/30/2019,5.6,-3.3
3/31/2019,11.1,-4.4
4/1/2019,15,-3.3
4/2/2019,12.8,2.2
4/3/2019,16.7,3.9
4/4/2019,19.4,1.1
4/5/2019,21.7,5.6
4/6/2019,21.1,2.8
4/7/2019,22.2,2.2
4/8/2019,23.9,6.7
4/9/2019,24.4,6.1
4/10/2019,20.6,-5
4/11/2019,5.6,-6.1
4/12/2019,5,-3.9
4/13/2019,8.3,-1.7
4/14/2019,18.3,-1.7
4/15/2019,20.6,2.2
4/16/2019,18.3,3.3
4/17/2019,18.9,5.6
4/18/2019,16.1,3.9
4/19/2019,23.9,1.7
4/20/2019,25.6,6.1
4/21/2019,20.6,9.4
4/22/2019,10,5.6
4/23/2019,20,6.7
4/24/2019,22.8,4.4
4/25/2019,18.9,7.8
4/26/2019,25,3.9
4/27/2019,17.2,6.1
4/28/2019,22.8,4.4
4/29/2019,10,-2.2
4/30/2019,3.9,-1.1
5/1/2019,11.1,0
5/2/2019,15.6,-0.6
5/3/2019,20,1.1
5/4/2019,22.8,3.3
5/5/2019,22.8,7.2
5/6/2019,19.4,9.4
5/7/2019,10.6,5.6
5/8/2019,10,4.4
5/9/2019,5.6,0.6
5/10/2019,12.8,1.1
5/11/2019,18.3,-0.6
5/12/2019,25,1.7
5/13/2019,26.7,6.1
5/14/2019,27.8,6.1
5/15/2019,27.8,6.7
5/16/2019,26.7,10.6
5/17/2019,20.6,9.4
5/18/2019,17.2,3.3
5/19/2019,10,2.8
5/20/2019,8.9,1.7
5/21/2019,7.8,0
5/22/2019,12.2,1.1
5/23/2019,8.3,3.9
5/24/2019,22.2,2.8
5/25/2019,22.8,3.3
5/26/2019,23.9,12.8
5/27/2019,20,7.2
5/28/2019,14.4,6.1
5/29/2019,18.3,4.4
5/30/2019,21.7,3.3
5/31/2019,24.4,5.6
6/1/2019,23.9,7.2
6/2/2019,26.1,8.9
6/3/2019,26.7,8.9
