Inj,Date,Time,NO3_N,NH4_N,PO4_P,Cl
A_up,7/26/10,12:14:56,1.77,3.38,6.57,4.43
A_up,7/26/10,12:15:26,2.23,10.3,6.23,4.77
A_up,7/26/10,12:19:56,0.501,,5.98,4.47
A_up,7/26/10,12:20:56,2.51,,6.35,4.55
A_up,7/26/10,12:23:26,2.71,,6.17,4.52
A_up,7/26/10,12:23:56,6.12,,6.09,5.06
A_up,7/26/10,12:24:26,15.2,,9.75,6.21
A_up,7/26/10,12:24:56,29.9,,18.4,8.58
A_up,7/26/10,12:25:26,51.2,,32.8,11.64
A_up,7/26/10,12:25:56,77.6,,53.8,16.23
A_up,7/26/10,12:26:26,114,,83.9,21.10
A_up,7/26/10,12:26:56,137,,91.9,25.67
A_up,7/26/10,12:27:26,165,,119,29.23
A_up,7/26/10,12:27:56,184,,125,32.37
A_up,7/26/10,12:28:56,201,,126,34.68
A_up,7/26/10,12:29:26,200,,115,34.47
A_up,7/26/10,12:29:56,196,,114,33.54
A_up,7/26/10,12:30:56,171,,95,30.66
A_up,7/26/10,12:32:26,136,,57.4,24.35
A_up,7/26/10,12:33:56,97.7,,44.9,19.20
A_up,7/26/10,12:35:56,63.7,,21.2,14.12
A_up,7/26/10,12:38:56,34.1,,10.8,9.71
A_up,7/26/10,12:44:56,13.2,,7.04,6.24
A_up,7/26/10,12:51:56,5.18,,7.01,5.32
A_up,7/26/10,12:59:56,3.55,,6.81,4.70
A_up,7/26/10,13:19:56,2.14,,7.24,4.71
A_up,7/26/10,14:14:56,2.53,9.62,6.45,4.67
A_up,7/26/10,14:15:26,2.06,7.6,6.05,4.69
