Inj,Date,Time,NO3_N,NH4_N,PO4_P,Cl
B_up,7/26/10,14:14:56,2.53,9.62,6.45,4.67
B_up,7/26/10,14:15:26,2.06,7.6,6.05,4.69
B_up,7/26/10,14:17:56,1.82,5.97,7.86,4.57
B_up,7/26/10,14:17:56,2.78,8.06,7.05,4.59
B_up,7/26/10,14:23:26,2.47,8.8,,4.68
B_up,7/26/10,14:24:26,3.21,16,,5.96
B_up,7/26/10,14:25:26,3.49,45.4,,11.19
B_up,7/26/10,14:26:26,3.78,91.8,,20.19
B_up,7/26/10,14:27:26,3.91,131,,29.32
B_up,7/26/10,14:27:56,3.93,133,,32.81
B_up,7/26/10,14:28:26,6.06,152,,34.04
B_up,7/26/10,14:28:56,5.26,150,,36.12
B_up,7/26/10,14:29:26,5.25,147,,36.26
B_up,7/26/10,14:29:56,6.33,148,,35.64
B_up,7/26/10,14:30:56,6.79,120,,32.64
B_up,7/26/10,14:31:56,5.68,107,,27.67
B_up,7/26/10,14:32:56,6.6,87.7,,24.38
B_up,7/26/10,14:33:56,8.55,78,,20.50
B_up,7/26/10,14:34:56,8.47,57.6,,17.95
B_up,7/26/10,14:35:56,8.12,45.7,,15.08
B_up,7/26/10,14:37:26,9.22,35.7,,12.40
B_up,7/26/10,14:39:26,9.31,31.5,,9.63
B_up,7/26/10,14:43:56,9.3,20.9,,6.90
B_up,7/26/10,14:49:56,8.62,15.7,,5.39
B_up,7/26/10,14:57:56,7.01,12.4,,4.95
