Inj,Site,Date,Time,Cl,NH4_N,NO3_N,PO4_P
A_up,I8_In,6/12/11,17:00:00,2.14,,138,1.21
A_up,I8_In,6/12/11,17:42:00,2.1,,137,7.43
A_up,I8_In,6/12/11,18:05:00,3.92,,172,5.64
A_up,I8_In,6/12/11,18:08:15,3.52,,114,11.4
A_up,I8_In,6/12/11,18:10:00,7.52,,232,30
A_up,I8_In,6/12/11,18:12:00,9.77,,258,39.5
A_up,I8_In,6/12/11,18:14:20,12.3,,300,43.6
A_up,I8_In,6/12/11,18:16:00,14.6,,327,58.2
A_up,I8_In,6/12/11,18:18:00,16.5,,356,81.3
A_up,I8_In,6/12/11,18:20:00,18.5,,386,108
A_up,I8_In,6/12/11,18:22:00,18.7,,425,101
A_up,I8_In,6/12/11,18:24:00,21.9,,434,109
A_up,I8_In,6/12/11,18:26:00,22.6,,445,187
A_up,I8_In,6/12/11,18:28:00,23.7,,452,138
A_up,I8_In,6/12/11,18:30:00,21.9,,449,112
A_up,I8_In,6/12/11,18:36:30,22.4,,435,80.9
A_up,I8_In,6/12/11,18:44:00,19.3,,387,52.6
A_up,I8_In,6/12/11,18:56:00,11.9,,288,16.7
A_up,I8_In,6/12/11,19:05:00,9.32,,255,12.9
A_up,I8_In,6/12/11,19:10:00,8.15,,232,5.75
,,,19:17:00,6.33,,212,4.03
,,,19:26:00,5.12,,188,3.75
,,,19:42:00,3.77,,169,3.33
,,,19:56:00,3.23,,159,2.16
,,,20:28:00,2.69,,152,3.69
,,,19:19:00,6.06,,210,3.3
