Inj,Site,Date,Time,Cl,NH4_N,NO3_N,PO4_P
A_down,I8_In,6/6/11,15:02:30,1.96,16.7,137,5.9
A_down,I8_In,6/6/11,15:19:10,1.91,,137,3.64
A_down,I8_In,6/6/11,15:27:00,3.81,,175,28.6
A_down,I8_In,6/6/11,15:29:30,5.25,,207,55
A_down,I8_In,6/6/11,15:37:30,9.25,,283,121
A_down,I8_In,6/6/11,16:19:00,2.96,,163,4.82
A_down,I8_In,6/6/11,14:15:00,2.05,0.148,121,12.5
A_down,I8_In,6/6/11,15:24:00,2.63,2.84,133,12.7
A_down,I8_In,6/6/11,15:32:30,6.85,1.17,218,109
A_down,I8_In,6/6/11,15:36:00,3.55,11.1,99.9,137
A_down,I8_In,6/6/11,15:39:50,9.22,3.55,262,148
A_down,I8_In,6/6/11,15:42:00,9.35,3.3,260,128
A_down,I8_In,6/6/11,15:48:00,8.33,10,242,82.9
A_down,I8_In,6/6/11,15:58:00,5.33,15.2,177,27.7
A_down,I8_In,6/6/11,17:08:00,1.98,1.66,179,3.69
