Inj,Site,Date,Time,Cl,NH4_N,NO3_N,PO4_P
B_up,I8_In,6/6/11,17:32:00,1.81,31,137,5.19
B_up,I8_In,6/6/11,17:55:00,5.16,28.1,139,4.42
B_up,I8_In,6/6/11,17:57:00,8.09,59.6,142,5.07
B_up,I8_In,6/6/11,18:04:00,16.5,181,145,4.96
B_up,I8_In,6/6/11,18:09:00,15.2,156,145,5.3
B_up,I8_In,6/6/11,18:12:00,12.6,123,147,5.16
B_up,I8_In,6/6/11,18:18:00,7.79,88.9,148,3.61
B_up,I8_In,6/6/11,18:26:00,4.68,34.7,148,1.93
B_up,I8_In,6/6/11,18:38:00,2.61,75.4,139,9.49
B_up,I8_In,6/6/11,18:51:00,2.28,19.8,147,3.59
B_up,I8_In,6/6/11,17:10:00,1.85,14.1,155,5.12
B_up,I8_In,6/6/11,17:50:00,1.92,22.3,153,
B_up,I8_In,6/6/11,17:56:00,6.28,47.2,147,
B_up,I8_In,6/6/11,17:58:00,9.15,110,139,
B_up,I8_In,6/6/11,17:59:00,11.2,105,144,
B_up,I8_In,6/6/11,18:00:00,12.7,111,138,
B_up,I8_In,6/6/11,18:01:00,13.9,129,136,
B_up,I8_In,6/6/11,18:02:30,15.4,153,139,
B_up,I8_In,6/6/11,18:05:00,15.7,155,134,
B_up,I8_In,6/6/11,18:07:00,15.9,148,136,
B_up,I8_In,6/6/11,18:32:00,3.24,15.6,132,
B_up,I8_In,6/6/11,18:49:00,2.22,13.5,130,
B_up,I8_In,6/6/11,15:00:00,6.48,19,220,286
B_up,I8_In,6/6/11,15:16:00,11.3,0.905,301,409
B_up,I8_In,6/6/11,15:31:00,3.81,1.36,166,48.3
