Inj,Date,Time,NO3_N,NH4_N,PO4_P,Cl
I8_In_A_up,7/19/11,16:09:00,14.8,21.7,6.2,3.34
I8_In_A_up,7/19/11,16:09:40,12.1,20.6,4.5,2.91
I8_In_A_up,7/19/11,16:10:00,12.6,12.8,3.09,2.91
I8_In_A_up,7/19/11,16:11:20,12.3,12.1,5.41,2.91
I8_In_A_up,7/19/11,16:13:50,30.8,,9.01,3.98
I8_In_A_up,7/19/11,16:15:00,114,,52.6,8.98
I8_In_A_up,7/19/11,16:16:00,247,,133,18.3
I8_In_A_up,7/19/11,16:17:00,400,,231,28.9
I8_In_A_up,7/19/11,16:18:00,500,,308,36
I8_In_A_up,7/19/11,16:19:00,542,,325,39.1
I8_In_A_up,7/19/11,16:20:00,555,,303,40.2
I8_In_A_up,7/19/11,16:21:00,507,,275,38.2
I8_In_A_up,7/19/11,16:22:00,455,,223,32.8
I8_In_A_up,7/19/11,16:23:00,397,,180,28.8
I8_In_A_up,7/19/11,16:24:00,337,,141,24.9
I8_In_A_up,7/19/11,16:25:00,290,,105,21.4
I8_In_A_up,7/19/11,16:26:00,241,,82.5,18.6
I8_In_A_up,7/19/11,16:27:00,201,,62.4,15.5
I8_In_A_up,7/19/11,16:28:00,170,,63.4,13.4
I8_In_A_up,7/19/11,16:29:00,143,,34.3,11.4
I8_In_A_up,7/19/11,16:30:00,127,,26.4,10.2
I8_In_A_up,7/19/11,16:31:00,97.1,,20.1,9.3
I8_In_A_up,7/19/11,16:32:00,84.7,,20.7,7.91
I8_In_A_up,7/19/11,16:34:00,60.9,,10.7,6.6
I8_In_A_up,7/19/11,16:36:00,45.1,,8.36,5.42
I8_In_A_up,7/19/11,16:38:00,37.4,,7.73,4.81
I8_In_A_up,7/19/11,16:40:15,28.4,,4.73,4.26
I8_In_A_up,7/19/11,16:42:00,25.2,,5.54,3.97
I8_In_A_up,7/19/11,16:46:00,17.7,,3.64,3.65
I8_In_A_up,7/19/11,16:51:00,14.9,,3.54,3.41
I8_In_A_up,7/19/11,16:57:00,14.8,,4.36,3.25
I8_In_A_up,7/19/11,17:03:00,14.6,,5.31,3.07
I8_In_A_up,7/19/11,17:08:00,15.9,,6.03,3.01
I8_In_A_up,7/19/11,17:15:00,12.4,,4.11,3.1
