Inj,Time,Cl,NH4_N,NO3_N
B_down,15:15:00,4.10,5.69000,10.70000
B_down,15:16:00,4.21,5.64000,11.60000
B_down,15:46:00,4.43,4.97000,11.20000
B_down,15:49:10,9.66,13.10000,11.30000
B_down,15:50:00,13.61,21.90000,11.50000
B_down,15:51:00,17.68,30.20000,11.70000
B_down,15:52:00,22.50,45.60000,12.20000
B_down,15:53:00,26.15,57.50000,12.70000
B_down,15:54:00,29.29,65.80000,12.80000
B_down,15:55:00,30.29,72.50000,13.40000
B_down,15:56:00,30.29,82.40000,13.00000
B_down,15:57:00,29.49,68.20000,13.30000
B_down,15:58:00,27.93,63.50000,13.90000
B_down,15:59:00,26.19,56.60000,13.90000
B_down,16:00:00,23.24,55.80000,14.30000
B_down,16:01:00,21.00,40.70000,14.60000
B_down,16:02:00,19.24,37.60000,14.50000
B_down,16:03:00,17.22,30.30000,14.60000
B_down,16:06:00,12.12,22.20000,14.50000
B_down,16:10:00,8.53,15.00000,14.80000
B_down,16:15:00,6.42,10.60000,14.90000
B_down,16:24:00,5.01,1.69000,14.50000
