Inj,Date,Time,NO3_N,NH4_N,PO4_P,Cl
A_up,6/10/11,14:40:00,30.7,7.32,1.94,1.29
A_up,6/10/11,14:45:00,31.3,18.6,4.19,1.3
A_up,6/10/11,15:08:00,39.3,,5.83,2.17
A_up,6/10/11,15:11:00,68,,32.1,6.12
A_up,6/10/11,15:13:00,97.9,,54.6,10.7
A_up,6/10/11,15:14:00,119,,78.2,14
A_up,6/10/11,15:15:00,137,,95.4,16.6
A_up,6/10/11,15:16:00,155,,101,19.6
A_up,6/10/11,15:17:00,173,,114,22.3
A_up,6/10/11,15:18:00,192,,129,25.1
A_up,6/10/11,15:19:00,209,,129,26.8
A_up,6/10/11,15:20:00,190,,117,23.8
A_up,6/10/11,15:22:00,198,,128,33.9
A_up,6/10/11,15:24:00,234,,134,31
A_up,6/10/11,15:28:00,216,,107,28.7
A_up,6/10/11,15:33:10,174,,76.6,22.7
A_up,6/10/11,15:38:10,111,,49.4,13.8
A_up,6/10/11,15:44:00,115,,33.5,13.5
A_up,6/10/11,15:55:00,81.6,,19.5,8.18
A_up,6/10/11,16:07:00,65.2,,13.4,5.68
A_up,6/10/11,16:28:00,45.6,,4,3.2
