Inj,Date,Time,NO3_N,NH4_N,PO4_P,Cl
B_up,6/4/11,15:30:00,41.6,0.293,11.4,1.4
B_up,6/4/11,15:30:00,43,7.11,7.8,1.48
B_up,6/4/11,15:31:00,43.6,9.2,6.32,1.48
B_up,6/4/11,15:45:00,43.7,6.41,,1.44
B_up,6/4/11,15:47:00,43.3,7.9,,3.86
B_up,6/4/11,15:48:00,42.7,15.8,,4.84
B_up,6/4/11,15:49:00,43.5,34.2,,8.66
B_up,6/4/11,15:50:00,38.2,49,,11.5
B_up,6/4/11,15:51:00,44,71.2,,17.8
B_up,6/4/11,15:52:00,46.8,96.5,,26.6
B_up,6/4/11,15:53:00,44,107,,21.4
B_up,6/4/11,15:54:00,44.5,108,,22.9
B_up,6/4/11,15:55:00,44,121,,24.3
B_up,6/4/11,15:56:00,44.7,105,,23
B_up,6/4/11,15:58:00,44.8,89.8,,21.5
B_up,6/4/11,16:00:00,45.5,75,,18.6
B_up,6/4/11,16:04:00,46.7,56.3,,15.9
B_up,6/4/11,16:08:00,46.7,46.8,,12.2
B_up,6/4/11,16:13:00,46,27.5,,8.58
B_up,6/4/11,16:21:00,44.2,14.5,,5.02
B_up,6/4/11,15:31:00,47.6,10.4,,5.75
B_up,6/4/11,15:42:00,47.2,3.26,,2.36
B_up,6/4/11,15:52:00,34.1,3.2,,1.44
