Inj,Date,Time,NO3_N,NH4_N,PO4_P,Cl
B_up,7/16/11,15:39:00,6.71,17,0.389,1.8567
B_up,7/16/11,15:40:00,6.92,16.6,0.389,1.8816
B_up,7/16/11,15:41:00,6.98,21.4,0.389,1.7708
B_up,7/16/11,15:42:00,8.27,24.9,0.389,1.8945
B_up,7/16/11,15:45:30,7.35,25.2,,1.9824
B_up,7/16/11,15:47:00,8.12,25.6,,4.3639
B_up,7/16/11,15:48:00,7.27,27.4,,8.4357
B_up,7/16/11,15:49:00,8.64,52.8,,15.5236
B_up,7/16/11,15:50:00,9.43,75.1,,23.5989
B_up,7/16/11,15:51:00,11.3,103,,34.4827
B_up,7/16/11,15:52:00,11.3,125,,44.3156
B_up,7/16/11,15:53:00,11.6,137,,50.4785
B_up,7/16/11,15:54:00,13.6,156,,53.5531
B_up,7/16/11,15:55:00,14,166,,52.7517
B_up,7/16/11,15:56:00,14.2,142,,50.1468
B_up,7/16/11,15:57:00,15.5,148,,48.3726
B_up,7/16/11,15:58:10,17,126,,45.1744
B_up,7/16/11,15:59:30,17,107,,39.6487
B_up,7/16/11,16:01:00,19.1,85.7,,34.4678
B_up,7/16/11,16:02:00,21,97.1,,32.8796
B_up,7/16/11,16:03:00,20.1,82.4,,29.5886
B_up,7/16/11,16:04:00,20.1,69,,21.1517
B_up,7/16/11,16:06:00,22.5,63.9,,26.8634
B_up,7/16/11,16:08:00,22.9,52.2,,18.3756
B_up,7/16/11,16:10:00,22.6,42.3,,14.835
B_up,7/16/11,16:12:00,24.4,43.4,,12.1275
B_up,7/16/11,16:16:00,24.3,35.6,,9.5701
B_up,7/16/11,16:20:00,22.3,20,,7.7537
B_up,7/16/11,16:24:00,21.4,17,,4.6473
B_up,7/16/11,16:30:00,19.8,17.2,,6.2617
B_up,7/16/11,16:40:00,17.1,17.3,,3.1559
B_up,7/16/11,16:52:00,13.5,21.8,,2.4094
B_up,7/16/11,17:00:00,12.5,14.2,,2.4241
B_up,7/16/11,17:15:00,9.97,13.5,,2.0241
