Inj,Date,Time,NO3_N,NH4_N,PO4_P,Cl
A_up,9/2/11,13:08:00,5.61,5.92,4.1,3.5215
A_up,9/2/11,13:12:00,4.25,15.5,2.56,2.4568
A_up,9/2/11,13:16:00,3.97,7.02,3.25,2.5701
A_up,9/2/11,13:20:00,4.99,,3.5,2.5121
A_up,9/2/11,13:23:00,4.94,,3.25,2.5815
A_up,9/2/11,13:25:00,5.16,,4.55,2.6896
A_up,9/2/11,13:27:00,10.5,,4.15,4.9701
A_up,9/2/11,13:29:00,24.6,,8.92,9.319
A_up,9/2/11,13:31:00,41.5,,16.2,14.6125
A_up,9/2/11,13:33:00,55.2,,21.3,19.8419
A_up,9/2/11,13:34:00,62.1,,17.9,20.6578
A_up,9/2/11,13:35:00,62.1,,15.4,22.0459
A_up,9/2/11,13:36:00,62.4,,21.9,21.5666
A_up,9/2/11,13:37:00,61,,16.8,20.8859
A_up,9/2/11,13:38:00,61.4,,19.5,20.7827
A_up,9/2/11,13:39:00,56.2,,14.3,19.7651
A_up,9/2/11,13:40:00,52.3,,14.7,18.665
A_up,9/2/11,13:41:00,50.5,,8.96,17.5058
A_up,9/2/11,13:42:00,44.4,,9.32,16.1194
A_up,9/2/11,13:44:00,36.9,,7.4,14.8483
A_up,9/2/11,13:46:00,32.9,,9.25,12.0564
A_up,9/2/11,13:48:00,26,,4.46,10.5752
A_up,9/2/11,13:50:00,21.1,,4.2,9.269
A_up,9/2/11,13:52:00,17.6,,3.67,7.6565
A_up,9/2/11,13:54:00,16.3,,4.01,6.589
A_up,9/2/11,13:56:00,13.9,,3.7,5.9444
A_up,9/2/11,13:58:00,12.4,,5.08,5.3667
A_up,9/2/11,14:00:00,10.3,,3.74,4.9519
A_up,9/2/11,14:02:00,9.97,,4.12,4.6313
A_up,9/2/11,14:04:00,10.9,,5.37,4.3782
A_up,9/2/11,14:06:00,8.52,,2.79,4.6063
A_up,9/2/11,14:12:00,6.51,,3.5,3.5227
A_up,9/2/11,14:22:00,5.12,,3.54,3.0908
A_up,9/2/11,14:40:00,4.23,,4.41,2.7112
