Reach,Date,X.NEP.h,X.GEP.h,X.ER.h,NEP_g_m2_day,GPP_g_m2_day,ER_g_m2_day
I8-In,21-Jul-10,-368,450,-818,-8.832,10.8,-19.632
I8-In,22-Jul-10,-272,403,-675,-6.528,9.672,-16.2
I8-In,23-Jul-10,-82,492,-574,-1.968,11.808,-13.776
I8-In,24-Jul-10,31,334,-303,0.744,8.016,-7.272
I8-In,25-Jul-10,136,354,-218,3.264,8.496,-5.232
I8-In,26-Jul-10,136,318,-182,3.264,7.632,-4.368
I8-In,27-Jul-10,181,293,-112,4.344,7.032,-2.688
I8-In,28-Jul-10,-1,234,-235,-0.024,5.616,-5.64
I8-In,15-Sep-10,-490,244,-734,-11.76,5.856,-17.616
I8-In,16-Sep-10,-584,162,-746,-14.016,3.888,-17.904
I8-In,17-Sep-10,-402,197,-599,-9.648,4.728,-14.376
I8-In,18-Sep-10,-337,196,-533,-8.088,4.704,-12.792
I8-In,19-Sep-10,-291,196,-486,-6.984,4.704,-11.664
I8-In,20-Sep-10,-288,237,-526,-6.912,5.688,-12.624
I8-In,21-Sep-10,-274,201,-475,-6.576,4.824,-11.4
I8-In,22-Sep-10,-271,115,-386,-6.504,2.76,-9.264
I8-In,23-Sep-10,-226,96,-322,-5.424,2.304,-7.728
I8-In,4-Jun-11,-94,185,-279,-2.256,4.44,-6.696
I8-In,5-Jun-11,-80,210,-289,-1.92,5.04,-6.936
I8-In,6-Jun-11,-76,200,-276,-1.824,4.8,-6.624
I8-In,10-Jun-11,164,157,6,3.936,3.768,0.144
I8-In,11-Jun-11,169,149,20,4.056,3.576,0.48
I8-In,12-Jun-11,146,140,5,3.504,3.36,0.12
I8-In,13-Jun-11,144,129,15,3.456,3.096,0.36
I8-In,14-Jun-11,258,167,91,6.192,4.008,2.184
I8-In,15-Jun-11,239,210,29,5.736,5.04,0.696
I8-In,16-Jun-11,253,185,68,6.072,4.44,1.632
I8-In,21-Jun-11,201,342,-141,4.824,8.208,-3.384
I8-In,22-Jun-11,132,313,-181,3.168,7.512,-4.344
I8-In,23-Jun-11,81,444,-363,1.944,10.656,-8.712
I8-In,24-Jun-11,103,510,-407,2.472,12.24,-9.768
I8-In,25-Jun-11,122,507,-385,2.928,12.168,-9.24
I8-In,26-Jun-11,105,374,-269,2.52,8.976,-6.456
I8-In,27-Jun-11,141,327,-186,3.384,7.848,-4.464
I8-In,28-Jun-11,160,312,-152,3.84,7.488,-3.648
I8-In,29-Jun-11,122,249,-128,2.928,5.976,-3.072
I8-In,30-Jun-11,109,167,-58,2.616,4.008,-1.392
I8-In,1-Jul-11,119,184,-65,2.856,4.416,-1.56
I8-In,2-Jul-11,136,216,-80,3.264,5.184,-1.92
I8-In,3-Jul-11,132,255,-123,3.168,6.12,-2.952
I8-In,4-Jul-11,35,172,-136,0.84,4.128,-3.264
I8-In,5-Jul-11,95,261,-166,2.28,6.264,-3.984
I8-In,6-Jul-11,85,279,-194,2.04,6.696,-4.656
I8-In,7-Jul-11,19,225,-205,0.456,5.4,-4.92
I8-In,8-Jul-11,23,197,-173,0.552,4.728,-4.152
I8-In,9-Jul-11,-1,190,-191,-0.024,4.56,-4.584
I8-In,10-Jul-11,-12,165,-177,-0.288,3.96,-4.248
I8-In,11-Jul-11,-35,212,-247,-0.84,5.088,-5.928
I8-In,12-Jul-11,-9,191,-200,-0.216,4.584,-4.8
I8-In,13-Jul-11,-31,194,-225,-0.744,4.656,-5.4
I8-In,14-Jul-11,-114,226,-340,-2.736,5.424,-8.16
I8-In,15-Jul-11,-101,265,-366,-2.424,6.36,-8.784
I8-In,16-Jul-11,-165,341,-506,-3.96,8.184,-12.144
I8-In,17-Jul-11,-133,297,-430,-3.192,7.128,-10.32
I8-In,18-Jul-11,-129,344,-474,-3.096,8.256,-11.376
I8-In,19-Jul-11,-167,433,-600,-4.008,10.392,-14.4
I8-In,20-Jul-11,-48,461,-510,-1.152,11.064,-12.24
I8-In,21-Jul-11,21,516,-495,0.504,12.384,-11.88
I8-In,22-Jul-11,78,536,-458,1.872,12.864,-10.992
I8-In,23-Jul-11,36,568,-532,0.864,13.632,-12.768
I8-In,24-Jul-11,96,511,-414,2.304,12.264,-9.936
I8-In,25-Jul-11,95,543,-448,2.28,13.032,-10.752
I8-In,26-Jul-11,88,492,-404,2.112,11.808,-9.696
I8-In,27-Jul-11,49,434,-385,1.176,10.416,-9.24
I8-In,28-Jul-11,26,410,-384,0.624,9.84,-9.216
I8-In,29-Jul-11,-17,387,-404,-0.408,9.288,-9.696
I8-In,30-Jul-11,-54,399,-453,-1.296,9.576,-10.872
I8-In,31-Jul-11,-69,393,-462,-1.656,9.432,-11.088
I8-In,4-Aug-11,-50,377,-427,-1.2,9.048,-10.248
I8-In,5-Aug-11,-70,357,-427,-1.68,8.568,-10.248
I8-In,6-Aug-11,-91,284,-375,-2.184,6.816,-9
I8-In,7-Aug-11,-114,261,-375,-2.736,6.264,-9
I8-In,8-Aug-11,-104,283,-386,-2.496,6.792,-9.264
I8-In,9-Aug-11,-89,305,-395,-2.136,7.32,-9.48
I8-In,10-Aug-11,-118,265,-383,-2.832,6.36,-9.192
I8-In,11-Aug-11,-112,281,-393,-2.688,6.744,-9.432
I8-In,12-Aug-11,-114,277,-391,-2.736,6.648,-9.384
I8-In,13-Aug-11,-124,246,-370,-2.976,5.904,-8.88
I8-In,14-Aug-11,-135,256,-391,-3.24,6.144,-9.384
I8-In,15-Aug-11,-87,316,-403,-2.088,7.584,-9.672
I8-In,16-Aug-11,-46,340,-386,-1.104,8.16,-9.264
I8-In,17-Aug-11,-55,348,-403,-1.32,8.352,-9.672
I8-In,18-Aug-11,-59,316,-375,-1.416,7.584,-9
I8-In,19-Aug-11,-53,308,-361,-1.272,7.392,-8.664
I8-In,20-Aug-11,-22,295,-316,-0.528,7.08,-7.584
I8-In,21-Aug-11,-81,228,-310,-1.944,5.472,-7.44
I8-In,22-Aug-11,-51,237,-288,-1.224,5.688,-6.912
I8-In,23-Aug-11,-16,262,-279,-0.384,6.288,-6.696
I8-In,24-Aug-11,-37,268,-305,-0.888,6.432,-7.32
I8-In,25-Aug-11,-57,253,-310,-1.368,6.072,-7.44
I8-In,26-Aug-11,-48,243,-291,-1.152,5.832,-6.984
I8-In,27-Aug-11,-45,236,-281,-1.08,5.664,-6.744
I8-In,28-Aug-11,-42,260,-302,-1.008,6.24,-7.248
I8-In,29-Aug-11,-58,260,-318,-1.392,6.24,-7.632
I8-In,30-Aug-11,-66,247,-313,-1.584,5.928,-7.512
I8-In,31-Aug-11,-115,221,-336,-2.76,5.304,-8.064
I8-In,1-Sep-11,-180,267,-447,-4.32,6.408,-10.728
I8-In,2-Sep-11,-244,271,-515,-5.856,6.504,-12.36
I8-In,3-Sep-11,-212,247,-460,-5.088,5.928,-11.04
I8-In,4-Sep-11,-286,227,-512,-6.864,5.448,-12.288
I8-In,5-Sep-11,-206,207,-414,-4.944,4.968,-9.936
I8-In,6-Sep-11,-196,166,-362,-4.704,3.984,-8.688
I8-In,7-Sep-11,-83,221,-304,-1.992,5.304,-7.296
I8-In,8-Sep-11,-129,186,-316,-3.096,4.464,-7.584
I8-In,9-Sep-11,-70,234,-304,-1.68,5.616,-7.296
I8-In,10-Sep-11,-62,201,-264,-1.488,4.824,-6.336
I8-In,11-Sep-11,-135,242,-376,-3.24,5.808,-9.024
I8-In,12-Sep-11,-221,261,-482,-5.304,6.264,-11.568
I8-In,13-Sep-11,-92,236,-328,-2.208,5.664,-7.872
I8-In,14-Sep-11,-85,237,-322,-2.04,5.688,-7.728
I8-In,15-Sep-11,-131,163,-295,-3.144,3.912,-7.08
I8-In,16-Sep-11,-72,165,-237,-1.728,3.96,-5.688
I8-In,17-Sep-11,-55,159,-214,-1.32,3.816,-5.136
I8-In,18-Sep-11,-26,138,-164,-0.624,3.312,-3.936
I8-In,19-Sep-11,-22,137,-160,-0.528,3.288,-3.84
I8-In,22-Sep-11,-42,128,-169,-1.008,3.072,-4.056
I8-In,23-Sep-11,-54,130,-184,-1.296,3.12,-4.416
I8-In,24-Sep-11,-31,109,-140,-0.744,2.616,-3.36
I8-In,25-Sep-11,-35,114,-149,-0.84,2.736,-3.576
I8-Out,17-Jul-10,-1233,347,-1580,-29.592,8.328,-37.92
I8-Out,18-Jul-10,-840,375,-1215,-20.16,9,-29.16
I8-Out,19-Jul-10,-659,245,-904,-15.816,5.88,-21.696
I8-Out,20-Jul-10,-133,208,-341,-3.192,4.992,-8.184
I8-Out,21-Jul-10,356,214,142,8.544,5.136,3.408
I8-Out,23-Jul-10,181,189,-7,4.344,4.536,-0.168
I8-Out,24-Jul-10,146,164,-18,3.504,3.936,-0.432
I8-Out,25-Jul-10,309,302,7,7.416,7.248,0.168
I8-Out,26-Jul-10,338,351,-13,8.112,8.424,-0.312
I8-Out,27-Jul-10,391,482,-92,9.384,11.568,-2.208
I8-Out,28-Jul-10,95,189,-94,2.28,4.536,-2.256
I8-Out,29-Jul-10,528,203,325,12.672,4.872,7.8
I8-Out,15-Sep-10,-319,270,-590,-7.656,6.48,-14.16
I8-Out,16-Sep-10,-428,141,-569,-10.272,3.384,-13.656
I8-Out,17-Sep-10,-277,257,-534,-6.648,6.168,-12.816
I8-Out,18-Sep-10,-229,262,-491,-5.496,6.288,-11.784
I8-Out,19-Sep-10,-186,271,-457,-4.464,6.504,-10.968
I8-Out,20-Sep-10,-189,256,-445,-4.536,6.144,-10.68
I8-Out,21-Sep-10,-202,228,-431,-4.848,5.472,-10.344
I8-Out,22-Sep-10,-255,197,-452,-6.12,4.728,-10.848
I8-Out,23-Sep-10,-230,199,-429,-5.52,4.776,-10.296
I8-Out,24-Sep-10,-220,186,-405,-5.28,4.464,-9.72
I8-Out,4-Jun-11,-1767,486,-2252,-42.408,11.664,-54.048
I8-Out,5-Jun-11,-1536,458,-1994,-36.864,10.992,-47.856
I8-Out,6-Jun-11,-1350,425,-1775,-32.4,10.2,-42.6
I8-Out,7-Jun-11,-1172,450,-1622,-28.128,10.8,-38.928
I8-Out,10-Jun-11,-742,421,-1163,-17.808,10.104,-27.912
I8-Out,11-Jun-11,-524,456,-980,-12.576,10.944,-23.52
I8-Out,12-Jun-11,-417,465,-882,-10.008,11.16,-21.168
I8-Out,13-Jun-11,-402,390,-792,-9.648,9.36,-19.008
I8-Out,14-Jun-11,-266,458,-724,-6.384,10.992,-17.376
I8-Out,15-Jun-11,-318,398,-715,-7.632,9.552,-17.16
I8-Out,16-Jun-11,-245,410,-655,-5.88,9.84,-15.72
I8-Out,17-Jun-11,-367,352,-719,-8.808,8.448,-17.256
I8-Out,18-Jun-11,-340,354,-695,-8.16,8.496,-16.68
I8-Out,19-Jun-11,-394,326,-720,-9.456,7.824,-17.28
I8-Out,20-Jun-11,-431,401,-832,-10.344,9.624,-19.968
I8-Out,21-Jun-11,-464,357,-821,-11.136,8.568,-19.704
I8-Out,22-Jun-11,-547,330,-877,-13.128,7.92,-21.048
I8-Out,23-Jun-11,-630,365,-995,-15.12,8.76,-23.88
I8-Out,24-Jun-11,-635,430,-1065,-15.24,10.32,-25.56
I8-Out,25-Jun-11,-655,431,-1086,-15.72,10.344,-26.064
I8-Out,26-Jun-11,-750,383,-1133,-18,9.192,-27.192
I8-Out,27-Jun-11,-747,380,-1127,-17.928,9.12,-27.048
I8-Out,28-Jun-11,-672,371,-1043,-16.128,8.904,-25.032
I8-Out,29-Jun-11,-583,339,-922,-13.992,8.136,-22.128
I8-Out,30-Jun-11,-543,240,-782,-13.032,5.76,-18.768
I8-Out,1-Jul-11,-490,245,-735,-11.76,5.88,-17.64
I8-Out,2-Jul-11,-492,259,-751,-11.808,6.216,-18.024
I8-Out,3-Jul-11,-429,308,-737,-10.296,7.392,-17.688
I8-Out,4-Jul-11,-540,239,-778,-12.96,5.736,-18.672
I8-Out,5-Jul-11,-468,378,-846,-11.232,9.072,-20.304
I8-Out,6-Jul-11,-450,407,-856,-10.8,9.768,-20.544
I8-Out,7-Jul-11,-472,340,-811,-11.328,8.16,-19.464
I8-Out,8-Jul-11,-415,326,-741,-9.96,7.824,-17.784
I8-Out,9-Jul-11,-421,318,-739,-10.104,7.632,-17.736
I8-Out,10-Jul-11,-383,298,-681,-9.192,7.152,-16.344
I8-Out,11-Jul-11,-357,275,-632,-8.568,6.6,-15.168
I8-Out,12-Jul-11,-313,236,-549,-7.512,5.664,-13.176
I8-Out,13-Jul-11,-353,228,-581,-8.472,5.472,-13.944
I8-Out,14-Jul-11,-359,308,-667,-8.616,7.392,-16.008
I8-Out,15-Jul-11,-367,420,-787,-8.808,10.08,-18.888
I8-Out,16-Jul-11,-422,551,-972,-10.128,13.224,-23.328
I8-Out,17-Jul-11,-347,546,-893,-8.328,13.104,-21.432
I8-Out,18-Jul-11,-377,567,-943,-9.048,13.608,-22.632
I8-Out,19-Jul-11,-303,599,-902,-7.272,14.376,-21.648
I8-Out,20-Jul-11,-280,561,-840,-6.72,13.464,-20.16
I8-Out,21-Jul-11,-376,491,-868,-9.024,11.784,-20.832
I8-Out,22-Jul-11,-376,493,-870,-9.024,11.832,-20.88
I8-Out,23-Jul-11,-364,440,-804,-8.736,10.56,-19.296
I8-Out,24-Jul-11,-300,433,-733,-7.2,10.392,-17.592
I8-Out,25-Jul-11,-377,480,-858,-9.048,11.52,-20.592
I8-Out,26-Jul-11,-408,446,-854,-9.792,10.704,-20.496
I8-Out,27-Jul-11,-451,373,-824,-10.824,8.952,-19.776
I8-Out,28-Jul-11,-450,346,-796,-10.8,8.304,-19.104
I8-Out,29-Jul-11,-474,281,-755,-11.376,6.744,-18.12
I8-Out,30-Jul-11,-503,277,-780,-12.072,6.648,-18.72
I8-Out,4-Aug-11,-363,289,-652,-8.712,6.936,-15.648
I8-Out,5-Aug-11,-396,300,-696,-9.504,7.2,-16.704
I8-Out,6-Aug-11,-410,215,-625,-9.84,5.16,-15
I8-Out,7-Aug-11,-382,203,-584,-9.168,4.872,-14.016
I8-Out,8-Aug-11,-340,206,-547,-8.16,4.944,-13.128
I8-Out,9-Aug-11,-308,217,-525,-7.392,5.208,-12.6
I8-Out,10-Aug-11,-331,211,-541,-7.944,5.064,-12.984
I8-Out,11-Aug-11,-297,187,-483,-7.128,4.488,-11.592
I8-Out,12-Aug-11,-263,186,-449,-6.312,4.464,-10.776
I8-Out,13-Aug-11,-240,176,-415,-5.76,4.224,-9.96
I8-Out,14-Aug-11,-253,154,-406,-6.072,3.696,-9.744
I8-Out,15-Aug-11,-241,188,-429,-5.784,4.512,-10.296
I8-Out,16-Aug-11,-226,182,-407,-5.424,4.368,-9.768
I8-Out,17-Aug-11,-213,188,-401,-5.112,4.512,-9.624
I8-Out,18-Aug-11,-195,152,-347,-4.68,3.648,-8.328
I8-Out,19-Aug-11,-176,140,-316,-4.224,3.36,-7.584
I8-Out,20-Aug-11,-136,149,-285,-3.264,3.576,-6.84
I8-Out,21-Aug-11,-153,108,-260,-3.672,2.592,-6.24
I8-Out,22-Aug-11,-135,107,-242,-3.24,2.568,-5.808
I8-Out,23-Aug-11,-126,119,-246,-3.024,2.856,-5.904
I8-Out,24-Aug-11,-129,123,-252,-3.096,2.952,-6.048
I8-Out,25-Aug-11,-126,102,-228,-3.024,2.448,-5.472
I8-Out,26-Aug-11,-115,91,-206,-2.76,2.184,-4.944
I8-Out,27-Aug-11,-115,98,-213,-2.76,2.352,-5.112
I8-Out,28-Aug-11,-105,109,-214,-2.52,2.616,-5.136
I8-Out,29-Aug-11,-113,106,-218,-2.712,2.544,-5.232
I8-Out,30-Aug-11,-111,109,-220,-2.664,2.616,-5.28
I8-Out,31-Aug-11,-127,94,-221,-3.048,2.256,-5.304
