Inj,Date,Time,NO3_N,NH4_N,PO4_P,Cl
A_down,6/14/11,12:40:30,23.4,12.2,2.1,0.834
A_down,6/14/11,12:46:00,33.2,25,5.73,0.855
A_down,6/14/11,13:37:00,77.6,,77.4,7.4
A_down,6/14/11,13:40:00,102,,91,8.27
A_down,6/14/11,13:44:30,99.9,,98.5,9.47
A_down,6/14/11,13:48:00,93.2,,110,10.9
A_down,6/14/11,13:55:30,127,,147,14.7
A_down,6/14/11,14:00:30,114,,153,15.1
A_down,6/14/11,14:18:30,103,,127,12.3
A_down,6/14/11,14:36:30,101,,88.8,8.72
A_down,6/14/11,15:02:00,45.5,,48.3,4.73
A_down,6/14/11,15:12:30,74.4,,38.7,3.97
A_down,6/14/11,15:27:00,63.2,,25,2.59
