Inj,Date,Time,NO3_N,NH4_N,PO4_P,Cl
B_down,6/14/11,15:35:00,27.4,2.35,31.2,2.23
B_down,6/14/11,15:40:00,27.5,1.13,19.3,2.37
B_down,6/14/11,16:00:00,23.3,36.1,,5.76
B_down,6/14/11,16:07:00,23.7,96.6,,9.35
B_down,6/14/11,16:10:30,23.8,94.1,,9.87
B_down,6/14/11,16:16:30,22.1,156,,15.2
B_down,6/14/11,16:25:30,20.9,170,,15.8
B_down,6/14/11,16:50:30,20.1,156,,14.3
B_down,6/14/11,17:04:00,19.9,118,,11
B_down,6/14/11,17:12:30,19.9,92.4,,9.43
B_down,6/14/11,17:23:00,18.6,66,,7.1
B_down,6/14/11,17:39:00,17.9,47.9,3.56,4.99
