Inj,Date,Time,NO3_N,NH4_N,PO4_P,Cl
B_up,7/23/10,14:00:00,11.2,NA,< 10,0.76
B_up,7/23/10,14:00:30,10.5,NA,< 10,0.11
B_up,7/23/10,14:00:00,11.1,10.5,< 10,0.41
B_up,7/23/10,14:00:00,10.8,NA,< 10,0.09
B_up,7/23/10,14:07:30,11.1,24.6,< 10,0.26
B_up,7/23/10,14:08:30,9.92,49.3,< 10,2.65
B_up,7/23/10,14:09:30,10.8,180,< 10,9.56
B_up,7/23/10,14:10:00,9.78,282,< 10,16.18
B_up,7/23/10,14:10:30,10.6,417,< 10,24.64
B_up,7/23/10,14:11:00,9.65,536,< 10,33.91
B_up,7/23/10,14:12:00,10.5,732,< 10,45.9
B_up,7/23/10,14:12:03,10,759,< 10,49.82
B_up,7/23/10,14:13:00,10.6,750,< 10,49.54
B_up,7/23/10,14:13:30,10.8,756,< 10,51.42
B_up,7/23/10,14:14:00,10.9,767,< 10,51.4
B_up,7/23/10,14:15:00,10.5,692,< 10,44.7
B_up,7/23/10,14:16:00,9.94,725,< 10,47.92
B_up,7/23/10,14:18:00,10.5,721,< 10,45.02
B_up,7/23/10,14:20:00,NA,238,< 10,4.65
B_up,7/23/10,14:23:00,10,516,< 10,32.26
B_up,7/23/10,14:27:00,10.5,390,< 10,23.27
B_up,7/23/10,14:32:00,10.6,267,< 10,15.11
B_up,7/23/10,14:38:30,11,167,< 10,9.01
B_up,7/23/10,14:44:00,9.71,113,< 10,6.03
B_up,7/23/10,14:50:00,8.99,76,< 10,3.6
B_up,7/23/10,15:00:00,10.1,34,< 10,1.88
B_up,7/23/10,15:20:00,10.1,8.97,< 10,0.61
