Inj,Date,Time,NO3_N,NH4_N,PO4_P,Cl
A_up,9/20/10,11:15:30,21.8,8.23,2.52,0.18
A_up,9/20/10,11:27:00,21.5,12.1,2.8,0.14
A_up,9/20/10,11:32:40,23.4,0,3.01,0.15
A_up,9/20/10,11:35:00,28.3,0,25.9,1.48
A_up,9/20/10,11:36:00,60.9,0,62.5,4.53
A_up,9/20/10,11:37:00,79.9,0,114,6.60
A_up,9/20/10,11:37:30,127,0,194,11.70
A_up,9/20/10,11:39:00,191,0,332,17.95
A_up,9/20/10,11:40:00,250,0,451,24.67
A_up,9/20/10,11:41:00,285,0,527,28.98
A_up,9/20/10,11:42:00,327,0,633,33.32
A_up,9/20/10,11:43:00,367,0,723,37.84
A_up,9/20/10,11:45:00,394,0,757,39.01
A_up,9/20/10,11:47:00,439,0,852,44.50
A_up,9/20/10,11:51:00,432,0,849,44.29
A_up,9/20/10,11:58:00,365,0,690,37.76
A_up,9/20/10,12:08:00,280,0,464,27.61
A_up,9/20/10,12:15:00,221,0,402,22.06
A_up,9/20/10,12:25:00,153,0,244,14.81
A_up,9/20/10,12:35:00,118,0,147,10.67
A_up,9/20/10,13:07:00,52.9,0,45.9,3.94
A_up,9/20/10,13:17:00,45,0,34.3,3.05
A_up,9/20/10,13:17:00,45.9,0,37.5,2.96
A_up,9/20/10,13:45:00,33.7,0,13.4,1.34
A_up,9/20/10,14:00:00,30.5,0,10.5,0.95
A_up,9/20/10,14:57:00,23.4,14.8,5.06,0.49
A_up,9/20/10,15:12:00,22.7,8.36,2.44,0.60
