Inj,Date,Time,NO3_N,NH4_N,PO4_P,Cl,cor_nh4,cl_ug,cor_cl,con_nh4,con_amb_nh4,tot_nh4,nh4_cl,log_nh4_cl,diff,kw_nh4,sw_nh4
B_down,6/14/11,15:35:00,27.4,2.35,31.2,2.23,1.222825,2230,5.574999999999818,0.07452847490352126,1.2045284749035212,1.6824511630425636,NA,NA,NA,NA,NA
B_down,6/14/11,15:40:00,27.5,1.13,19.3,2.37,0.0028249999999998554,2370,145.57499999999982,1.9460955576825913,3.0760955576825912,1.8644001663219534,1.940580456809108e-5,-10.849938332106966,-6.535072001609315,-0.054458933346744294,18.362460271355697
B_down,6/14/11,16:00:00,23.3,36.1,NA,5.76,34.972825,5760,3535.575,47.26475563354722,48.39475563354722,41.797735325864906,0.009891693713186682,-4.616059892884958,-0.301193562387307,-0.002509946353227558,398.41488990953644
B_down,6/14/11,16:07:00,23.7,96.6,NA,9.35,95.472825,9350,7125.575,95.2570829705248,96.3870829705248,96.49348275895474,NA,NA,NA,NA,NA
B_down,6/14/11,16:10:30,23.8,94.1,NA,9.87,92.972825,9870,7645.575,102.20861784941849,103.33861784941848,98.61117553112472,0.01216034438220801,-4.409575081939882,-0.0947087514422309,-7.892395953519242e-4,1267.042360633335
B_down,6/14/11,16:16:30,22.1,156,NA,15.2,154.872825,15200,12975.575,173.4618503580788,174.5918503580788,165.03432568971925,0.011935719611654974,-4.428219726777298,-0.11335339627964736,-9.44611635663728e-4,1058.636123296696
B_down,6/14/11,16:25:30,20.9,170,NA,15.8,168.872825,15800,13575.575,181.48285214141768,182.61285214141768,176.193600519545,0.012439460207026222,-4.386881584330701,-0.07201525383305007,-6.001271152754172e-4,1666.3136434704645
B_down,6/14/11,16:50:30,20.1,156,NA,14.3,154.872825,14300,12075.575,161.43034768307052,162.56034768307052,159.24639474273513,0.012825296103912236,-4.356335800167482,-0.04146946966983123,-3.4557891391526023e-4,2893.695071468426
B_down,6/14/11,17:04:00,19.9,118,NA,11,116.872825,11000,8775.575,117.31483787470671,118.4448378747067,118.2222097121154,0.013317967768493802,-4.318641195442768,-0.003774864945117251,-3.145720787597709e-5,31789.21676528289
B_down,6/14/11,17:12:30,19.9,92.4,NA,9.43,91.27282500000001,9430,7205.575,96.32654987496998,97.45654987496998,94.8946005231448,0.012666973142323828,-4.368757212769948,-0.05389088227229699,-4.4909068560247494e-4,2226.7217558931466
B_down,6/14/11,17:23:00,18.6,66,NA,7.1,64.872825,7100,4875.575,65.17832628300403,66.30832628300402,66.1539835133022,0.013305676766330127,-4.31956451028201,-0.004698179784359269,-3.9151498202993906e-5,25541.80672257212
B_down,6/14/11,17:39:00,17.9,47.9,3.56,4.99,46.772825,4990,2765.575,36.97113667826233,38.101136678262336,42.72053893490538,NA,NA,NA,NA,NA
