Inj,Date,Time,NO3_N,NH4_N,PO4_P,Cl
B_up,7/19/10,14:15:00,6.92,-11.6,14.8,4.06
B_up,7/19/10,14:16:00,5.05,4.89,16.9,4.04
B_up,7/19/10,14:20:00,5.44,-13.6,17,4.08
B_up,7/19/10,14:25:30,7.06,-0.522,17.1,4.52
B_up,7/19/10,14:26:00,6.51,9.31,17.6,4.65
B_up,7/19/10,14:27:00,-3.19,21.1,15.9,6.58
B_up,7/19/10,14:28:00,6.22,60.6,18.3,11.23
B_up,7/19/10,14:30:00,8.62,164,-11.4,23.34
B_up,7/19/10,14:32:00,9.36,196,28.6,29.24
B_up,7/19/10,14:34:00,10.5,165,15.1,26.29
B_up,7/19/10,14:37:00,10.1,114,17,17.81
B_up,7/19/10,14:39:00,12,71.3,14.6,14.02
B_up,7/19/10,14:41:00,12.2,58.8,21.6,11.15
B_up,7/19/10,14:44:00,12.2,35.1,17.6,8.23
B_up,7/19/10,14:47:00,11.3,27.5,16.8,6.74
B_up,7/19/10,14:50:00,11.8,13.9,21,5.91
B_up,7/19/10,14:53:00,10.4,17.5,16.1,5.39
B_up,7/19/10,14:58:00,12.5,12.2,14,4.86
B_up,7/19/10,15:03:00,11,30.6,16,4.52
B_up,7/19/10,15:08:00,10.9,9.75,13.8,4.38
B_up,7/19/10,15:13:00,9.98,3.01,14.9,4.28
B_up,7/19/10,15:30:00,8.2,-4.57,17.8,4.40
B_up,7/19/10,15:30:00,8.74,3.98,15.4,4.12
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
