Inj,Date,Time,NO3_N,NH4_N,PO4_P,Cl
A_up,9/16/10,13:16:00,9.67,6.92,2.58,3.38
A_up,9/16/10,13:22:00,9.57,4.08,2.24,3.28
A_up,9/16/10,13:29:00,12,,2.12,3.73
A_up,9/16/10,13:30:00,21.1,,9.53,4.85
A_up,9/16/10,13:31:00,42.4,,40.4,7.68
A_up,9/16/10,13:32:00,78.8,,81.2,12.32
A_up,9/16/10,13:33:00,120,,148,18.14
A_up,9/16/10,13:34:00,162,,185,23.76
A_up,9/16/10,13:35:00,195,,216,28.59
A_up,9/16/10,13:36:00,221,,249,31.42
A_up,9/16/10,13:36:30,222,,261,32.12
A_up,9/16/10,13:37:00,227,,252,32.73
A_up,9/16/10,13:37:30,224,,256,31.28
A_up,9/16/10,13:38:00,226,,244,31.57
A_up,9/16/10,13:40:00,191,,194,27.35
A_up,9/16/10,13:42:00,156,,147,22.76
A_up,9/16/10,13:44:00,121,,104,18.26
A_up,9/16/10,13:47:00,81.7,,53.4,12.84
A_up,9/16/10,13:51:10,51.7,,24.9,8.57
A_up,9/16/10,13:55:00,34.2,,10.3,6.58
A_up,9/16/10,14:00:00,24.2,,6.51,5.12
A_up,9/16/10,14:07:00,18.5,,4.59,4.14
A_up,9/16/10,14:16:00,13.3,,2.66,3.74
A_up,9/16/10,15:06:00,12.2,3.7,0.192,3.23
A_up,9/16/10,15:13:30,10.8,7.87,2.98,3.44
