Inj,Date,Time,NO3_N,NH4_N,PO4_P,Cl
A_up,9/23/10,11:45:00,11,5.08,3.84,3.27
A_up,9/23/10,11:55:00,12.9,6.39,4.24,3.49
A_up,9/23/10,12:00:30,12.9,,4.51,3.82
A_up,9/23/10,12:03:00,28.8,,23,5.85
A_up,9/23/10,12:04:00,49.5,,53.9,8.61
A_up,9/23/10,12:05:00,80.7,,99.9,13.28
A_up,9/23/10,12:06:00,117,,154,17.46
A_up,9/23/10,12:07:00,154,,191,22.93
A_up,9/23/10,12:08:00,185,,234,27.63
A_up,9/23/10,12:09:00,205,,264,29.10
A_up,9/23/10,12:09:30,215,,258,30.23
A_up,9/23/10,12:10:30,223,,275,32.44
A_up,9/23/10,12:13:00,208,,231,30.03
A_up,9/23/10,12:14:30,189,,206,28.71
A_up,9/23/10,12:16:00,169,,169,26.18
A_up,9/23/10,12:17:30,147,,133,22.96
A_up,9/23/10,12:19:30,119,,105,19.28
A_up,9/23/10,12:22:00,92.2,,68.2,15.45
A_up,9/23/10,12:25:00,67.3,,52.2,12.15
A_up,9/23/10,12:30:00,43.2,,27.4,8.29
A_up,9/23/10,12:30:00,43.6,,25.5,8.26
A_up,9/23/10,12:33:00,35.2,,17.9,7.27
A_up,9/23/10,12:38:00,26.3,,10.4,5.99
A_up,9/23/10,12:49:00,19.4,,3.99,4.57
A_up,9/23/10,12:55:00,16.2,,3.61,4.23
A_up,9/23/10,14:00:00,13.2,5.34,3.72,3.83
A_up,9/23/10,14:10:00,12.9,5.53,3.81,4.01
