Inj,Time,NO3_N,NH4_N,PO4_P,Cl
B_up,15:18:00,5.37,12.6,3.4,2.4862
B_up,15:22:00,5.03,17.9,2.73,2.4762
B_up,15:26:00,5.87,6.57,,2.541
B_up,15:30:00,5.48,17.2,,2.5728
B_up,15:36:00,10.3,13,,2.5791
B_up,15:38:00,10.3,14.4,,3.1325
B_up,15:40:00,12.6,108,,6.1325
B_up,15:42:00,13.3,37.3,,10.6178
B_up,15:44:00,15.1,45,,13.9734
B_up,15:46:00,17.1,71.2,,17.9871
B_up,15:47:00,18.3,75.6,,20.9127
B_up,15:48:00,23.1,111,,20.1495
B_up,15:49:00,29.4,144,,21.4659
B_up,15:50:00,26.9,109,,20.8974
B_up,15:51:00,29.4,130,,20.2207
B_up,15:52:00,25.8,85.9,,19.0915
B_up,15:53:00,27.5,89.9,,18.2795
B_up,15:54:00,27.4,88,,16.7856
B_up,15:55:00,31,96.8,,15.4563
B_up,15:57:00,25.7,57.7,,13.3127
B_up,15:59:00,31.3,72.6,,11.3602
B_up,16:01:00,29.8,64.1,,9.9369
B_up,16:03:00,30.1,64,,7.9695
B_up,16:05:00,31.2,71.5,,7.4433
B_up,16:09:00,34,82.6,,5.6944
B_up,16:13:00,20.3,35.9,,3.5001
B_up,16:17:00,28.7,23.3,,4.3063
B_up,16:21:00,26.3,4.73,,3.9235
B_up,16:25:00,26.8,31.5,,3.5331
B_up,16:29:00,23.6,68.6,,3.2553
B_up,16:33:00,20,9.6,,3.0396
B_up,16:37:00,23.6,3.41,,2.9287
B_up,16:41:00,20.7,NA,,2.8099
B_up,16:55:00,15.9,13.1,,2.6561
