Site,Date,Q_L_s
I8-In,6/4/11,87
I8-In,6/5/11,71
I8-In,6/6/11,63
I8-In,6/7/11,61
I8-In,6/8/11,55
I8-In,6/9/11,51
I8-In,6/10/11,39
I8-In,6/11/11,35
I8-In,6/12/11,33
I8-In,6/13/11,32
I8-In,6/14/11,31
I8-In,6/15/11,40
I8-In,6/16/11,43
I8-In,6/17/11,35
I8-In,6/18/11,37
I8-In,6/19/11,35
I8-In,6/20/11,30
I8-In,6/21/11,28
I8-In,6/22/11,28
I8-In,6/23/11,27
I8-In,6/24/11,36
I8-In,6/25/11,80
I8-In,6/26/11,86
I8-In,6/27/11,57
I8-In,6/28/11,40
I8-In,6/29/11,35
I8-In,6/30/11,33
I8-In,7/1/11,34
I8-In,7/2/11,46
I8-In,7/3/11,50
I8-In,7/4/11,39
I8-In,7/5/11,37
I8-In,7/6/11,54
I8-In,7/7/11,49
I8-In,7/8/11,37
I8-In,7/9/11,31
I8-In,7/10/11,27
I8-In,7/11/11,24
I8-In,7/12/11,23
I8-In,7/13/11,23
I8-In,7/14/11,33
I8-In,7/15/11,100
I8-In,7/16/11,153
I8-In,7/17/11,97
I8-In,7/18/11,96
I8-In,7/19/11,90
I8-In,7/20/11,167
I8-In,7/21/11,126
I8-In,7/22/11,83
I8-In,7/23/11,90
I8-In,7/24/11,96
I8-In,7/25/11,80
I8-In,7/26/11,66
I8-In,7/27/11,60
I8-In,7/28/11,52
I8-In,7/29/11,46
I8-In,7/30/11,44
I8-In,7/31/11,63
I8-In,8/1/11,77
I8-In,8/2/11,99
I8-In,8/3/11,81
I8-In,8/4/11,78
I8-In,8/5/11,67
I8-In,8/6/11,57
I8-In,8/7/11,50
I8-In,8/8/11,48
I8-In,8/9/11,57
I8-In,8/10/11,57
I8-In,8/11/11,51
I8-In,8/12/11,47
I8-In,8/13/11,43
I8-In,8/14/11,41
I8-In,8/15/11,42
I8-In,8/16/11,46
I8-In,8/17/11,49
I8-In,8/18/11,46
I8-In,8/19/11,44
I8-In,8/20/11,41
I8-In,8/21/11,39
I8-In,8/22/11,38
I8-In,8/23/11,34
I8-In,8/24/11,33
I8-In,8/25/11,32
I8-In,8/26/11,32
I8-In,8/27/11,31
I8-In,8/28/11,30
I8-In,8/29/11,30
I8-In,8/30/11,29
I8-In,8/31/11,29
I8-In,9/1/11,31
I8-In,9/2/11,107
I8-In,9/3/11,122
I8-In,9/4/11,167
I8-In,9/5/11,142
I8-In,9/6/11,125
I8-In,9/7/11,128
I8-In,9/8/11,153
I8-In,9/9/11,185
I8-In,9/10/11,259
I8-In,9/11/11,239
I8-In,9/12/11,626
I8-In,9/13/11,800
I8-In,9/14/11,448
I8-In,9/15/11,316
I8-In,9/16/11,258
I8-In,9/17/11,229
I8-In,9/18/11,206
I8-In,9/19/11,183
I8-In,9/20/11,161
I8-In,9/21/11,147
I8-In,9/22/11,127
I8-In,9/23/11,124
I8-In,9/24/11,108
I8-In,9/25/11,93
I8-In,9/26/11,74
I8-In,9/27/11,75
I8-In,9/28/11,73
I8-In,9/29/11,62
I8-In,9/30/11,62
I8-In,10/1/11,60
I8-In,10/2/11,50
I8-In,10/3/11,44
I8-Out,6/4/11,446
I8-Out,6/5/11,400
I8-Out,6/6/11,347
I8-Out,6/7/11,317
I8-Out,6/8/11,287
I8-Out,6/9/11,264
I8-Out,6/10/11,220
I8-Out,6/11/11,186
I8-Out,6/12/11,162
I8-Out,6/13/11,142
I8-Out,6/14/11,129
I8-Out,6/15/11,121
I8-Out,6/16/11,120
I8-Out,6/17/11,113
I8-Out,6/18/11,111
I8-Out,6/19/11,108
I8-Out,6/20/11,96
I8-Out,6/21/11,84
I8-Out,6/22/11,78
I8-Out,6/23/11,72
I8-Out,6/24/11,75
I8-Out,6/25/11,97
I8-Out,6/26/11,141
I8-Out,6/27/11,143
I8-Out,6/28/11,117
I8-Out,6/29/11,94
I8-Out,6/30/11,75
I8-Out,7/1/11,66
I8-Out,7/2/11,65
I8-Out,7/3/11,70
I8-Out,7/4/11,70
I8-Out,7/5/11,68
I8-Out,7/6/11,79
I8-Out,7/7/11,92
I8-Out,7/8/11,88
I8-Out,7/9/11,75
I8-Out,7/10/11,62
I8-Out,7/11/11,48
I8-Out,7/12/11,40
I8-Out,7/13/11,35
I8-Out,7/14/11,40
I8-Out,7/15/11,68
I8-Out,7/16/11,151
I8-Out,7/17/11,178
I8-Out,7/18/11,173
I8-Out,7/19/11,172
I8-Out,7/20/11,189
I8-Out,7/21/11,208
I8-Out,7/22/11,184
I8-Out,7/23/11,162
I8-Out,7/24/11,166
I8-Out,7/25/11,161
I8-Out,7/26/11,151
I8-Out,7/27/11,133
I8-Out,7/28/11,112
I8-Out,7/29/11,95
I8-Out,7/30/11,83
I8-Out,7/31/11,97
I8-Out,8/1/11,109
I8-Out,8/2/11,125
I8-Out,8/3/11,130
I8-Out,8/4/11,126
I8-Out,8/5/11,116
I8-Out,8/6/11,101
I8-Out,8/7/11,85
I8-Out,8/8/11,74
I8-Out,8/9/11,79
I8-Out,8/10/11,78
I8-Out,8/11/11,77
I8-Out,8/12/11,70
I8-Out,8/13/11,64
I8-Out,8/14/11,55
I8-Out,8/15/11,54
I8-Out,8/16/11,56
I8-Out,8/17/11,57
I8-Out,8/18/11,55
I8-Out,8/19/11,54
I8-Out,8/20/11,50
I8-Out,8/21/11,47
I8-Out,8/22/11,44
I8-Out,8/23/11,39
I8-Out,8/24/11,37
I8-Out,8/25/11,35
I8-Out,8/26/11,33
I8-Out,8/27/11,31
I8-Out,8/28/11,29
I8-Out,8/29/11,28
I8-Out,8/30/11,26
I8-Out,8/31/11,26
I8-Out,9/1/11,26
I8-Out,9/2/11,44
I8-Out,9/3/11,85
I8-Out,9/4/11,118
I8-Out,9/5/11,138
I8-Out,9/6/11,137
I8-Out,9/7/11,137
I8-Out,9/8/11,150
I8-Out,9/9/11,164
I8-Out,9/10/11,198
I8-Out,9/11/11,198
I8-Out,9/12/11,281
I8-Out,9/13/11,449
