Site,Location,Date,Q,nutrient,Conc,Temp,PAR,NEP,GPP,ER,ER_pos,Vf
I8-In,I8-In 500 M,7/21/10,460,NO3-N,5,9.3,7798,-8.8,10.8,-19.6,19.6,NA
I8-In,I8-In 500 M,7/28/10,186,NO3-N,17,10.6,2592,0,5.6,-5.6,5.6,3.6
I8-In,I8-In 500 M,9/18/10,180,NO3-N,33,4.4,5543,-8.1,4.7,-12.8,12.8,NA
I8-In,I8-In 500 M,9/25/10,110,NO3-N,95,0.1,4110,-5.4,2.3,-7.7,7.7,NA
I8-In,I8-In 500 M,6/6/11,63,NO3-N,118,10.3,11553,-1.8,4.8,-6.6,6.6,NA
I8-In,I8-In 500 M,6/12/11,33,NO3-N,114,9.7,9200,-3.2,3.4,-6.6,6.6,NA
I8-In,I8-In,7/19/11,90,NO3-N,18,11.7,9191,-3.1,8.3,-11.4,11.4,NA
I8-In,I8-In,8/13/11,43,NO3-N,53,10.5,7014,-3,5.9,-8.9,8.9,NA
I8-In,I8-In,9/9/11,185,NO3-N,91,2.5,5575,-1.7,5.6,-7.3,7.3,NA
I8-Out,I8-Out-360,7/19/10,250,NO3-N,8,11.1,4796,-15.8,5.9,-21.7,21.7,14.9
I8-Out,I8-Out-360,7/26/10,270,NO3-N,5,12.9,7084,8.1,8.4,-0.3,0.3,2.92
I8-Out,I8-Out-360,9/16/10,198,NO3-N,15,7.8,816,-10.3,3.4,-13.7,13.7,NA
I8-Out,I8-Out-360,9/23/10,185,NO3-N,16,4.1,4110,-5.5,4.8,-10.3,10.3,9.78
I8-Out,I8-Out-260,6/4/11,446,NO3-N,43,6,11688,-42.4,11.7,-54,54,NA
I8-Out,I8-Out-360,6/10/11,220,NO3-N,31,7.9,16140,-17.8,10.1,-27.9,27.9,NA
I8-Out,I8-Out-260,7/16/11,151,NO3-N,8,15.4,7823,-10.1,13.2,-23.3,23.3,2.02
I8-Out,I8-Out-260,9/2/11,44,NO3-N,4,11.3,3884,-3.2,3.5,-6.7,6.7,NA
P-In,Pin,7/23/10,138,NO3-N,10,12.3,9005,-2.3,1.2,-3.5,3.5,NA
P-In,Pin,7/30/10,415,NO3-N,3,12.5,7937,-2.7,1.8,-4.5,4.5,NA
P-In,Pin,9/20/10,75,NO3-N,25,5.6,4321,-0.8,0.1,-0.9,0.9,2.5
P-In,P_in_up,9/28/10,50,NO3-N,19,0.5,2619.4,-0.3,0.3,-0.6,0.6,NA
P-In,Pin,6/8/11,189,NO3-N,11,7,15318,-1,0,-7.8,7.8,NA
P-In,Pin_up,6/14/11,57,NO3-N,17,7.9,9532,-0.6,0,-3.8,3.8,NA
P-In,Pin_down,6/14/11,57,NO3-N,23.4,7.9,9532,-0.6,0,-3.8,3.8,NA
P-In,Pin,7/5/11,30,NO3-N,47,11.8,12118,-2.9,2.6,-5.4,5.4,NA
P-In,Pin,8/2/11,32,NO3-N,36,11,5232,-2.3,3.1,-5.4,5.4,NA
P-In,Pin,8/3/11,28,NO3-N,21,11.1,8577,-1.7,3.6,-5.3,5.3,NA
I8-In,I8-In 500 M,7/21/10,460,PO4-P,4,9.3,7798,-8.8,10.8,-19.6,19.6,8.3
I8-In,I8-In 500 M,7/28/10,186,PO4-P,6,10.6,2592,0,5.6,-5.6,5.6,24.9
I8-In,I8-In 500 M,9/18/10,180,PO4-P,5,4.4,5543,-8.1,4.7,-12.8,12.8,12.8
I8-In,I8-In 500 M,9/25/10,110,PO4-P,4,0.1,4110,-5.4,2.3,-7.7,7.7,12.3
I8-In,I8-In 500 M,6/6/11,63,PO4-P,4,10.3,11553,-1.8,4.8,-6.6,6.6,7.8
I8-In,I8-In 500 M,6/12/11,33,PO4-P,2,9.7,9200,-3.2,3.4,-6.6,6.6,6.7
I8-In,I8-In,7/19/11,90,PO4-P,2,11.7,9191,-3.1,8.3,-11.4,11.4,12.5
I8-In,I8-In,8/13/11,43,PO4-P,3,10.5,7014,-3,5.9,-8.9,8.9,13.4
I8-In,I8-In,9/9/11,185,PO4-P,3,2.5,5575,-1.7,5.6,-7.3,7.3,29.7
I8-Out,I8-Out-360,7/19/10,250,PO4-P,12,11.1,4796,-15.8,5.9,-21.7,21.7,27.9
I8-Out,I8-Out-360,7/26/10,270,PO4-P,7,12.9,7084,8.1,8.4,-0.3,0.3,29.8
I8-Out,I8-Out-360,9/16/10,198,PO4-P,3,7.8,816,-10.3,3.4,-13.7,13.7,21.7
I8-Out,I8-Out-360,9/23/10,185,PO4-P,3,4.1,4110,-5.5,4.8,-10.3,10.3,24
I8-Out,I8-Out-260,6/4/11,446,PO4-P,5,6,11688,-42.4,11.7,-54,54,NA
I8-Out,I8-Out-360,6/10/11,220,PO4-P,3,7.9,16140,-17.8,10.1,-27.9,27.9,NA
I8-Out,I8-Out-260,7/16/11,151,PO4-P,2,15.4,7823,-10.1,13.2,-23.3,23.3,23.2
I8-Out,I8-Out-260,9/2/11,44,PO4-P,3,11.3,3884,-3.2,3.5,-6.7,6.7,11.7
P-In,Pin,7/23/10,138,PO4-P,3,12.3,9005,-2.3,1.2,-3.5,3.5,8.8
P-In,Pin,7/30/10,415,PO4-P,3,12.5,7937,-2.7,1.8,-4.5,4.5,14.6
P-In,Pin,9/20/10,75,PO4-P,2,5.6,4321,-0.8,0.1,-0.9,0.9,12.9
P-In,P_in_up,9/28/10,50,PO4-P,0.84,0.5,2619.4,-0.3,0.3,-0.6,0.6,2
P-In,Pin,6/8/11,189,PO4-P,5,7,15318,-1,0,-7.8,7.8,9.2
P-In,Pin_up,6/14/11,57,PO4-P,2,7.9,9532,-0.6,0,-3.8,3.8,NA
P-In,Pin_down,6/14/11,57,PO4-P,2.1,7.9,9532,-0.6,0,-3.8,3.8,NA
P-In,Pin,7/5/11,30,PO4-P,2,11.8,12118,-2.9,2.6,-5.4,5.4,11.3
P-In,Pin,8/2/11,32,PO4-P,4,11,5232,-2.3,3.1,-5.4,5.4,5.2
P-In,Pin,8/3/11,28,PO4-P,3,11.1,8577,-1.7,3.6,-5.3,5.3,NA
I8-In,I8-In 500 M,7/21/10,460,NH4-N,9,9.3,7798,-8.8,10.8,-19.6,19.6,NA
I8-In,I8-In 500 M,7/28/10,186,NH4-N,5,10.6,2592,0,5.6,-5.6,5.6,11.9
