site,date,doc
P-In,6/1/11,5.95
P-In,6/7/11,8.78
P-In,6/7/11,5.99
P-In,6/7/11,5.74
P-In,6/7/11,5.42
P-In,6/7/11,5.89
P-In,6/7/11,8.70
P-In,6/7/11,11.04
P-In,6/7/11,5.76
P-In,6/7/11,3.76
P-In,6/7/11,2.90
P-In,6/7/11,5.13
P-In,6/7/11,5.15
P-In,6/13/11,4.71
P-In,6/13/11,4.77
P-In,6/13/11,4.95
P-In,6/13/11,4.97
P-In,6/13/11,8.03
P-In,6/13/11,2.96
P-In,6/20/11,4.05
P-In,6/20/11,4.35
P-In,6/27/11,4.23
P-In,6/27/11,4.22
P-In,6/24/11,5.63
P-In,6/24/11,6.87
P-In,6/24/11,6.27
P-In,6/24/11,5.58
P-In,6/24/11,8.00
P-In,6/24/11,5.65
P-In,6/24/11,4.55
P-In,6/24/11,3.87
P-In,7/8/11,3.26
P-In,7/8/11,3.87
P-In,7/8/11,3.93
P-In,7/8/11,5.99
P-In,7/8/11,5.93
P-In,7/8/11,6.37
P-In,7/8/11,5.31
P-In,7/8/11,8.13
P-In,7/8/11,5.81
P-In,7/11/11,3.76
P-In,7/11/11,3.78
P-In,7/21/11,3.66
P-In,7/21/11,3.62
P-In,7/21/11,6.13
P-In,7/21/11,8.31
P-In,7/21/11,6.22
P-In,7/21/11,6.19
P-In,7/21/11,4.86
P-In,7/21/11,3.56
P-In,7/26/11,3.66
P-In,7/26/11,3.67
P-In,8/5/11,6.28
P-In,8/5/11,8.39
P-In,8/5/11,4.95
P-In,8/3/11,3.92
P-In,8/3/11,3.30
P-In,8/8/11,3.35
P-In,8/8/11,3.60
P-In,8/15/11,3.41
P-In,8/15/11,3.34
P-In,8/18/11,3.44
P-In,8/18/11,3.26
P-In,8/22/11,8.87
P-In,8/22/11,3.24
P-In,8/22/11,2.97
P-In,8/25/11,3.19
P-In,8/25/11,3.18
P-In,8/29/11,3.17
P-In,8/29/11,3.02
P-In,9/1/11,3.11
P-In,9/1/11,3.13
P-In,9/5/11,2.69
P-In,9/5/11,3.01
P-In,9/8/11,3.23
