Inj,Site,Date,Time,Cl,NH4_N,NO3_N,PO4_P
A_up,I8_In,6/6/11,14:53:00,1.9,15.9,147.0,3.2
A_up,I8_In,6/6/11,15:02:00,10.2,,310.0,445.0
A_up,I8_In,6/6/11,15:04:00,12.9,,355.0,591.0
A_up,I8_In,6/6/11,15:06:00,15.0,,403.0,704.0
A_up,I8_In,6/6/11,15:08:00,15.8,,410.0,685.0
A_up,I8_In,6/6/11,15:09:00,10.4,,279.0,651.0
A_up,I8_In,6/6/11,15:10:00,15.7,,405.0,663.0
A_up,I8_In,6/6/11,15:11:00,15.0,,398.0,635.0
A_up,I8_In,6/6/11,15:13:00,14.2,,370.0,497.0
A_up,I8_In,6/6/11,15:19:00,8.9,,289.0,290.0
A_up,I8_In,6/6/11,15:25:00,5.8,,235.0,105.0
A_up,I8_In,6/6/11,15:58:00,2.2,,146.0,4.1
A_up,I8_In,6/6/11,16:08:00,2.0,,148.0,3.9
A_up,I8_In,6/6/11,14:15:00,1.8,11.2,130.0,5.4
A_up,I8_In,6/6/11,14:54:30,2.0,2.4,130.0,10.9
A_up,I8_In,6/6/11,14:58:00,4.0,2.6,172.0,122.0
A_up,I8_In,6/6/11,15:37:00,2.9,6.6,152.0,21.9
A_up,I8_In,6/6/11,15:43:00,2.5,7.2,141.0,16.4
A_up,I8_In,6/6/11,15:50:00,2.3,0.1,136.0,10.1
A_up,I8_In,6/6/11,16:31:00,1.8,8.4,118.0,11.4
