Inj,Site,Date,Time,Cl,NH4_N,NO3_N,PO4_P
B_down,I8_In,6/6/11,17:55:15,1.93,19.5,136,5.63
B_down,I8_In,6/6/11,18:31:15,5.32,23.5,131,5.39
B_down,I8_In,6/6/11,18:33:00,8.36,34.1,135,4.31
B_down,I8_In,6/6/11,18:34:30,9.37,28.4,136,3.74
B_down,I8_In,6/6/11,18:36:00,10,66.4,155,2.87
B_down,I8_In,6/6/11,18:40:10,10.2,48.7,139,5.54
B_down,I8_In,6/6/11,18:47:00,10.3,44.4,142,4.35
B_down,I8_In,6/6/11,18:56:40,8.83,26.4,143,4.56
B_down,I8_In,6/6/11,18:25:00,5.76,22.6,147,6.22
B_down,I8_In,6/6/11,17:10:00,2.04,17.8,127,5.71
B_down,I8_In,6/6/11,18:16:15,2,10.4,119,
B_down,I8_In,6/6/11,18:21:15,2.8,9.94,118,
B_down,I8_In,6/6/11,18:26:15,3.08,44.7,132,
B_down,I8_In,6/6/11,18:38:00,9.77,28.7,126,
