Inj,Time,Cl,NH4_N,NO3_N,PO4_P
A_down,12:01:00,3.21,5.55000,9.490,4.620
A_down,12:10:00,4.22,,13.900,5.900
A_down,12:30:00,4.29,,13.800,5.840
A_down,12:34:00,4.44,,15.000,7.070
A_down,12:37:30,8.95,,49.200,8.560
A_down,12:38:30,12.56,,60.100,13.700
A_down,12:39:00,14.80,,72.100,15.500
A_down,12:40:00,19.23,,94.500,15.400
A_down,12:40:30,21.44,,106.000,23.300
A_down,12:41:30,19.28,,84.200,37.400
A_down,12:42:00,26.08,,128.000,43.600
A_down,12:42:30,28.67,,142.000,48.600
A_down,12:43:00,29.26,,152.000,44.000
A_down,12:44:00,30.77,,152.000,47.700
A_down,12:45:00,32.00,,151.000,38.300
A_down,12:46:00,29.63,,146.000,35.300
A_down,12:49:00,24.69,,115.00000,25.10000
A_down,12:52:00,18.63,,84.90000,12.00000
A_down,12:56:00,12.75,,52.70000,9.78000
A_down,13:03:00,7.45,,28.30000,6.37000
A_down,13:10:00,5.70,,20.50000,6.60000
A_down,13:18:00,5.05,,18.00000,5.75000
A_down,13:32:00,4.58,,16.00000,6.21000
