Inj,Date,Time,NO3_N,NH4_N,PO4_P,Cl
I8_In_B_up,9/9/11,14:28:00,84.7,34.10,2.23,5.0757
I8_In_B_up,9/9/11,14:30:00,84.9,33.30,2.81,5.1341
I8_In_B_up,9/9/11,14:32:00,84.6,28.50,,5.0174
I8_In_B_up,9/9/11,14:34:00,84.4,36.70,,5.1181
I8_In_B_up,9/9/11,14:35:00,84.8,41.50,,5.1942
I8_In_B_up,9/9/11,14:36:00,84.2,40.00,,5.412
I8_In_B_up,9/9/11,14:37:00,84.8,67.80,,9.2224
I8_In_B_up,9/9/11,14:38:00,83.8,130.00,,18.6435
I8_In_B_up,9/9/11,14:39:00,83.8,246.00,,33.6286
I8_In_B_up,9/9/11,14:40:00,83.8,345.00,,47.6258
I8_In_B_up,9/9/11,14:41:00,83.1,411.00,,50.8246
I8_In_B_up,9/9/11,14:42:00,89,392.00,,55.8703
I8_In_B_up,9/9/11,14:43:00,74.7,353.00,,48.368
I8_In_B_up,9/9/11,14:44:00,83.3,336.00,,47.8543
I8_In_B_up,9/9/11,14:45:00,83.6,295.00,,41.804
I8_In_B_up,9/9/11,14:46:00,83.2,244.00,,34.0449
I8_In_B_up,9/9/11,14:47:00,84.4,221.00,,30.5461
I8_In_B_up,9/9/11,14:48:00,84.3,205.00,,25.9352
I8_In_B_up,9/9/11,14:49:00,83.7,163.00,,22.0544
I8_In_B_up,9/9/11,14:50:00,83.1,138.00,,18.7168
I8_In_B_up,9/9/11,14:51:00,82.9,127.00,,16.6
I8_In_B_up,9/9/11,14:52:00,83.3,109.00,,14.5472
I8_In_B_up,9/9/11,14:54:00,83,91.90,,11.9151
I8_In_B_up,9/9/11,14:56:00,82.7,75.30,,10.2705
I8_In_B_up,9/9/11,14:58:00,83.2,65.90,,8.8089
I8_In_B_up,9/9/11,15:00:00,83.6,59.50,,7.9336
I8_In_B_up,9/9/11,15:02:00,82.3,55.40,,7.1287
I8_In_B_up,9/9/11,15:04:00,82.2,56.50,,6.7923
I8_In_B_up,9/9/11,15:06:00,82.2,48.00,,6.4362
I8_In_B_up,9/9/11,15:08:00,82.6,47.70,,6.183
I8_In_B_up,9/9/11,15:12:00,82.1,47.70,,5.7909
I8_In_B_up,9/9/11,15:18:00,83.6,38.40,,5.5345
I8_In_B_up,9/9/11,15:36:00,82.7,46.70,,5.2588
I8_In_B_up,9/9/11,15:44:00,82.3,40.30,,5.2219
