Inj,Date,Time,NO3_N,NH4_N,PO4_P,Cl
I8_In_A_up,9/9/11,12:40:00,85.3,28.9,2.23,4.9788
I8_In_A_up,9/9/11,12:43:00,83.3,27.4,2.52,4.9672
I8_In_A_up,9/9/11,12:45:00,82.9,,1.68,4.838
I8_In_A_up,9/9/11,12:48:30,83.6,,3.72,4.9347
I8_In_A_up,9/9/11,12:56:00,92.6,,2.91,5.2357
I8_In_A_up,9/9/11,12:58:00,461,,78.1,16.652
I8_In_A_up,9/9/11,12:59:00,862,,184,31.7617
I8_In_A_up,9/9/11,13:00:00,1120,,242,42.1345
I8_In_A_up,9/9/11,13:01:00,1370,,327,52.5943
I8_In_A_up,9/9/11,13:02:00,1390,,313,50.8408
I8_In_A_up,9/9/11,13:03:00,1300,,263,50.5158
I8_In_A_up,9/9/11,13:04:00,543,,214,20.4264
I8_In_A_up,9/9/11,13:05:00,1040,,159,39.6967
I8_In_A_up,9/9/11,13:06:00,791,,126,30.201
I8_In_A_up,9/9/11,13:07:00,726,,111,28.3303
I8_In_A_up,9/9/11,13:08:00,619,,69.3,23.6841
I8_In_A_up,9/9/11,13:09:00,519,,47.8,20.2761
I8_In_A_up,9/9/11,13:10:00,450,,42.2,17.7807
I8_In_A_up,9/9/11,13:11:00,349,,28.6,13.7671
I8_In_A_up,9/9/11,13:12:00,339,,25.1,13.7392
I8_In_A_up,9/9/11,13:14:00,274,,14.6,11.3726
I8_In_A_up,9/9/11,13:16:00,220,,8.84,9.6249
I8_In_A_up,9/9/11,13:18:00,173,,6.1,8.0856
I8_In_A_up,9/9/11,13:20:00,163,,4.31,7.3286
I8_In_A_up,9/9/11,13:22:00,145,,3.61,6.7118
I8_In_A_up,9/9/11,13:24:20,133,,2.76,5.5187
I8_In_A_up,9/9/11,13:26:30,121,,3.39,4.8249
I8_In_A_up,9/9/11,13:28:00,116,,2.31,5.9123
I8_In_A_up,9/9/11,13:30:00,111,,2.61,5.7473
I8_In_A_up,9/9/11,13:36:00,101,,2.53,5.3703
I8_In_A_up,9/9/11,13:45:10,92.9,,2.55,5.0893
I8_In_A_up,9/9/11,13:56:00,91.3,,1.71,5.3078
I8_In_A_up,9/9/11,,,,,
I8_In_A_up,9/9/11,,,,,
