Inj,Date,Time,NO3_N,NH4_N,PO4_P,Cl
B_up,6/10/11,17:35:00,31.2,7.2,4.82,1.67
B_up,6/10/11,17:51:00,28.7,4.09,4.38,1.56
B_up,6/10/11,18:02:00,30.6,9.63,,3.82
B_up,6/10/11,18:04:00,31.3,13.4,,6.84
B_up,6/10/11,18:05:00,32,26.5,,9.99
B_up,6/10/11,18:06:00,32.8,46.9,,12.9
B_up,6/10/11,18:07:00,33.9,41,,16
B_up,6/10/11,18:08:00,35.2,77.7,,19
B_up,6/10/11,18:10:00,36.5,66.9,,24.5
B_up,6/10/11,18:12:00,36.6,90.5,,28.1
B_up,6/10/11,18:13:00,37,88.8,,29.8
B_up,6/10/11,18:15:00,39.1,96.8,,31
B_up,6/10/11,18:17:45,39,95.5,,31.3
B_up,6/10/11,18:21:00,41.3,80.2,,28.6
B_up,6/10/11,18:25:00,43,67.7,,23.8
B_up,6/10/11,18:30:00,27.8,45.4,,11
B_up,6/10/11,18:36:10,48.2,32,,13.3
B_up,6/10/11,18:44:00,48.7,21.2,,9.84
B_up,6/10/11,18:59:00,48.3,11.9,,6.04
B_up,6/10/11,19:11:00,48,6.38,,4.41
B_up,6/10/11,19:24:00,36.5,6.41,,2.75
B_up,6/10/11,19:47:00,20.4,3.46,,1.35
B_up,6/10/11,18:17:00,18.7,73.9,,14.7
