Inj,Date,Time,NO3_N,NH4_N,PO4_P,Cl
A_up,6/4/11,13:40:00,42,5.81,2.99,1.47
A_up,6/4/11,13:41:00,42,9.21,3.21,1.41
A_up,6/4/11,13:42:00,39.7,27.6,5.94,1.44
A_up,6/4/11,13:55:00,43,,5.51,1.46
A_up,6/4/11,13:56:00,44.8,,5.16,1.77
A_up,6/4/11,13:57:00,55.3,,19.1,2.82
A_up,6/4/11,13:58:00,75.1,,38.8,5.02
A_up,6/4/11,13:59:00,105,,55.6,8.52
A_up,6/4/11,14:00:00,147,,114,13.3
A_up,6/4/11,14:01:00,175,,158,18.1
A_up,6/4/11,14:02:00,207,,174,21.4
A_up,6/4/11,14:03:00,212,,189,23.1
A_up,6/4/11,14:04:00,211,,201,23.2
A_up,6/4/11,14:05:00,240,,210,26.5
A_up,6/4/11,14:06:00,225,,205,25
A_up,6/4/11,14:07:00,224,,168,24.5
A_up,6/4/11,14:08:00,215,,149,22.9
A_up,6/4/11,14:11:00,169,,102,18.1
A_up,6/4/11,14:15:00,143,,66,13.6
A_up,6/4/11,14:19:00,66.6,,46,5.61
A_up,6/4/11,14:26:00,85.5,,23,6.08
A_up,6/4/11,14:35:30,64.7,,15.8,4.17
A_up,6/4/11,14:50:00,51.2,,9.42,2.31
