Site,Date,NO3,vf_no3,PO4,vf_p,NH4,vf_nh4,np
I8-In,7/21/10,5,NA,4,8.3,9,NA,4
I8-In,7/28/10,17,3.6,6,24.9,5,11.9,4
I8-In,9/18/10,33,NA,5,12.8,11,10.6,9
I8-In,9/25/10,95,NA,4,12.3,9,NA,26
I8-In,6/6/11,118,NA,4,7.8,10,17.2,32
I8-In,6/12/11,114,NA,2,6.7,3,NA,59
I8-In,7/19/11,18,NA,2,12.5,19,13.9,19
I8-In,8/13/11,53,NA,3,13.4,9,4.8,21
I8-In,9/9/11,91,NA,3,29.7,42,NA,44
I8-Out,7/19/10,8,14.9,12,27.9,4,NA,1
I8-Out,7/26/10,5,2.92,7,29.8,10,NA,2
I8-Out,9/16/10,15,NA,3,21.7,6,NA,7
I8-Out,9/23/10,16,9.78,3,24,7,NA,8
I8-Out,6/4/11,43,NA,5,NA,4,40.3,9
I8-Out,6/10/11,31,NA,3,NA,6,20.5,12
I8-Out,7/16/11,8,2.02,2,23.2,15,13.5,12
I8-Out,9/2/11,4,NA,3,11.7,3,NA,2
P-In,7/23/10,10,NA,3,8.8,9,NA,6
P-In,7/30/10,3,NA,3,14.6,11,NA,5
P-In,9/20/10,25,2.5,2,12.9,8,NA,17
P-In,9/28/10,19,NA,0.84,2,14,NA,39
P-In,6/8/11,11,NA,5,9.2,14,NA,5
P-In,6/14/11,17,NA,2,NA,3,NA,10
P-In,7/5/11,47,NA,2,11.3,14,NA,31
P-In,8/2/11,36,NA,4,5.2,39,NA,19
P-In,8/3/11,21,NA,3,NA,7,1.1,9
