Inj,Date,Time,NO3_N,NH4_N,PO4_P,Cl
B_up,6/8/11,16:36:00,8.55,14.2,3.76,0.604
B_up,6/8/11,16:44:00,8.25,13.6,4.03,0.727
B_up,6/8/11,16:46:00,8.16,70.3,,4.25
B_up,6/8/11,16:47:00,7.85,156,,10.2
B_up,6/8/11,16:47:30,8.67,162,,10.8
B_up,6/8/11,16:48:06,8.8,235,,15.8
B_up,6/8/11,16:49:00,7.58,231,,16.1
B_up,6/8/11,16:50:00,8.93,334,,23.1
B_up,6/8/11,16:51:00,7.62,331,,24.6
B_up,6/8/11,16:52:00,10.1,324,,27.8
B_up,6/8/11,16:53:00,8.68,437,,22.4
B_up,6/8/11,16:54:00,8.09,431,,30.3
B_up,6/8/11,16:55:00,8.39,427,,30.3
B_up,6/8/11,16:57:00,8.92,391,,28.7
B_up,6/8/11,17:01:00,8.45,334,,24.1
B_up,6/8/11,17:06:00,8.52,233,,18.1
B_up,6/8/11,17:10:00,8.69,199,,14
B_up,6/8/11,17:17:00,6.38,127,,6.24
B_up,6/8/11,17:23:00,8.48,99.7,,6.13
B_up,6/8/11,17:32:00,8.47,58.4,,3.3
B_up,6/8/11,17:42:00,7.71,29.7,,1.88
B_up,6/8/11,15:49:00,11,8,7.71,1.18
B_up,6/8/11,17:59:00,6.01,13.3,5.19,0.839
