Inj,Date,Time,NO3_N,NH4_N,PO4_P,Cl
A_down,7/30/10,11:20:00,0.924,11.1,5.83,0.10
A_down,7/30/10,11:20:30,3.09,11.7,4.8,0.09
A_down,7/30/10,11:25:00,113,,106,5.27
A_down,7/30/10,11:26:00,418,,434,21.58
A_down,7/30/10,11:26:30,348,,323,17.54
A_down,7/30/10,11:27:00,528,,562,26.98
A_down,7/30/10,11:27:30,516,,585,26.54
A_down,7/30/10,11:28:30,508,,542,25.69
A_down,7/30/10,11:29:30,475,,502,24.31
A_down,7/30/10,11:30:30,422,,383,21.73
A_down,7/30/10,11:31:30,391,,397,19.03
A_down,7/30/10,11:32:30,326,,334,16.28
A_down,7/30/10,11:34:00,266,,269,13.50
A_down,7/30/10,11:35:30,215,,199,10.92
A_down,7/30/10,11:37:00,183,,177,9.07
A_down,7/30/10,11:39:00,133,,126,6.89
A_down,7/30/10,11:41:00,103,,96,5.24
A_down,7/30/10,11:44:00,62.2,,53.8,3.05
A_down,7/30/10,11:48:00,37.2,,28.2,1.86
A_down,7/30/10,11:52:00,22.1,,15.2,1.17
A_down,7/30/10,11:58:30,10,,7.06,0.58
A_down,7/30/10,12:04:00,6.52,,5.36,0.39
A_down,7/30/10,12:10:00,4.12,,3.22,0.25
A_down,7/30/10,12:16:00,3.79,,4.42,0.17
A_down,7/30/10,13:00:00,3.66,11.5,2.38,0.06
A_down,7/30/10,13:00:30,5.39,20.3,3.74,0.14
