Inj,Date,Time,NO3_N,NH4_N,PO4_P,Cl
A_up,8/2/11,13:46:30,40.8,,5.66,0.268
A_up,8/2/11,13:47:30,33.2,34.8,3.94,0.1264
A_up,8/2/11,13:48:00,36.4,52,2.36,0.1056
A_up,8/2/11,14:03:00,32.8,30.1,3.79,0.1254
A_up,8/2/11,14:21:00,34.7,,3.04,0.2024
A_up,8/2/11,14:28:00,43.4,,6.88,0.8052
A_up,8/2/11,14:37:30,76.3,,6.72,2.7208
A_up,8/2/11,14:41:00,100,,31.9,4.2246
A_up,8/2/11,14:45:15,127,,50.7,5.764
A_up,8/2/11,14:49:00,164,,80.6,8.6898
A_up,8/2/11,14:53:00,228,,131,12.8952
A_up,8/2/11,14:57:00,287,,164,16.7455
A_up,8/2/11,15:00:00,341,,207,18.4925
A_up,8/2/11,15:04:00,365,,235,22.5384
A_up,8/2/11,15:08:00,456,,292,30.0581
A_up,8/2/11,15:12:00,456,,292,30.5727
A_up,8/2/11,15:16:00,477,,281,32.0581
A_up,8/2/11,15:20:00,475,,287,32.1281
A_up,8/2/11,15:24:15,497,,312,33.4888
A_up,8/2/11,15:28:00,494,,300,33.6355
A_up,8/2/11,15:35:00,486,,302,33.1511
A_up,8/2/11,15:45:00,474,,285,31.4332
A_up,8/2/11,15:55:00,439,,253,28.5094
A_up,8/2/11,16:05:30,402,,228,25.3476
A_up,8/2/11,16:16:00,347,,190,22.4713
A_up,8/2/11,16:25:00,329,,169,19.9815
A_up,8/2/11,16:40:00,280,,142,16.9852
A_up,8/2/11,16:55:00,242,,116,14.5452
A_up,8/2/11,17:16:00,197,,85.1,11.0513
A_up,8/2/11,17:50:00,180,,73.7,8.9066
A_up,8/2/11,18:30:00,118,,23.2,5.6936
A_up,8/2/11,19:10:00,87,,13.2,3.3936
A_up,8/2/11,19:50:00,67.3,,9.6,2.3519
A_up,8/2/11,20:30:00,55.1,,7.72,1.7025
