Inj,Date,Time,NO3_N,NH4_N,PO4_P,Cl,cor_no3,cor_p,cl_ug,cor_cl,con_no3,con_amb_no3,tot_no3,con_p,con_amb_p,tot_p,no3_cl,log_no3_cl,diff_no3,kw_no3,sw_no3,p_cl,log_p_cl,diff_p,kw_p,sw_p
A_down,6/8/11,14:43:00,10.4,14.8,4.02,0.813,0.0259999999999998,0.020024999999999515,813,103.77749999999992,0.574767916512299,10.974767916512299,10.683519379480147,1.0256016916709412,5.035601691670941,4.499235357315415,2.505360025053583e-4,-8.2919079251901735,-3.0958697978411314,-0.025798914982009428,38.76132002827787,1.929609019296045e-4,-8.55302297025725,-3.9360532426557917,-0.03280044368879827,30.487392472118042
A_down,6/8/11,14:57:00,10.7,16.4,4.01,0.711,0.32599999999999874,0.010024999999999729,711,1.7774999999999181,0.009844619224789238,10.40984461922479,10.553925214142138,0.017566495694587125,4.027566495694587,4.0187736497264055,NA,NA,NA,NA,NA,0.005639943741209671,-5.177881188484744,-0.560911460883287,-0.004674262174027392,213.93750773256048
A_down,6/8/11,15:04:00,12.7,NA,4.83,1.03,2.3259999999999987,0.830025,1030,320.7774999999999,1.7766145391729813,12.17661453917298,12.43555405470528,3.1701471576206357,7.1801471576206355,5.888982150703776,NA,NA,NA,NA,NA,0.002587541208470046,-5.957047194538705,-1.340077466937248,-0.011167312224477066,89.54706198758826
A_down,6/8/11,15:08:00,25.6,NA,25.1,3.04,15.226,21.100025000000002,3040,2330.7775,12.908926573956263,23.308926573956263,24.427617982383794,23.034370137154674,27.044370137154672,26.054053244026786,NA,NA,NA,NA,NA,0.009052783888638019,-4.704682956568973,-0.08771322896751599,-7.309435747292999e-4,1368.0946581551707
A_down,6/8/11,15:14:00,62.3,NA,87.1,9.71,51.925999999999995,83.10002499999999,9710,9000.7775,49.85047944560028,60.25047944560028,61.266670135244766,88.95196579560842,92.96196579560842,89.98326078108919,NA,NA,NA,NA,NA,0.009232538522366539,-4.685021238772224,-0.06805151117076669,-5.670959264230558e-4,1763.3700991426203
A_down,6/8/11,15:18:00,81.8,NA,117,13.3,71.426,113.000025,13300,12590.7775,69.73356412464106,80.13356412464107,80.9624946836228,124.43085161477617,128.44085161477616,122.58702883636923,NA,NA,NA,NA,NA,0.008974825025698373,-4.713331840541753,-0.0963621129402954,-8.03017607835795e-4,1245.3027059955639
A_down,6/8/11,15:23:00,89,NA,128,14.6,78.626,124.000025,14600,13890.7775,76.93356693320736,87.33356693320736,88.16284623953251,137.2783590144748,141.2883590144748,134.4801470621324,NA,NA,NA,NA,NA,0.008926787935376547,-4.718698642485857,-0.10172891488439983,-8.477409573699986e-4,1179.6056228100201
A_down,6/8/11,15:27:00,88.5,NA,130,15.7,78.126,126.000025,15700,14990.7775,83.02587700199423,93.42587700199424,90.92958877437245,148.1493268142198,152.15932681421978,140.64392089901563,0.005211604268024124,-5.256867549688844,-0.060829422339802264,-5.069118528316856e-4,1972.7295671108304,0.008405169445013775,-4.778908352299334,-0.16193862469787668,-0.0013494885391489722,741.0214840584196
A_down,6/8/11,15:39:00,70.2,NA,100,11.6,59.826,96.000025,11600,10890.7775,60.3181758365159,70.7181758365159,70.45861156539645,107.63026501517027,111.64026501517027,105.65995694451624,0.00549327171544915,-5.20423126007968,-0.008193132730637487,-6.827610608864573e-5,14646.412299811856,0.00881479995344685,-4.731323157269921,-0.11435342966846385,-9.529452472371987e-4,1049.3782333237125
A_down,6/8/11,15:57:00,37.4,NA,52.5,6.02,27.025999999999996,48.500025,6020,5310.7775,29.413548396669782,39.81354839666978,38.58790885802767,52.484810176463846,56.494810176463844,54.460788961089726,0.005088897058858142,-5.280694159747033,-0.0846560323979908,-7.054669366499233e-4,1417.5008750214952,0.0091323775096960845,-4.695929211955705,-0.0789594843542476,-6.579957029520633e-4,1519.766763693976
A_down,6/8/11,16:19:00,25.7,NA,25.1,3.05,15.325999999999999,21.100025000000002,3050,2340.7775,12.964311210945233,23.364311210945232,24.504342433970603,23.133197117152356,27.143197117152354,26.101613889576335,NA,NA,NA,NA,NA,0.009014109628104337,-4.7089641928057935,-0.09199446520433607,-7.666205433694672e-4,1304.4263014460562
A_down,6/8/11,16:41:00,21.1,NA,75.2,1.54,10.726,71.200025,1540,830.7774999999999,4.60123102561053,15.00123102561053,17.79117687620418,8.210323137502407,12.220323137502406,30.314489933696414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
