Inj,Date,Time,NO3_N,NH4_N,PO4_P,Cl,cor_no3,cor_p,cl_ug,cor_cl,con_no3,con_amb_no3,tot_no3,con_p,con_amb_p,tot_p,no3_cl,log_no3_cl,diff_no3,kw_no3,sw_no3,p_cl,log_p_cl,diff_p,kw_p,sw_p
A_up,6/8/11,14:30:00,10.7,14.4,4.85,0.609,0.02674999999999983,0.012125000000000163,609,1.5224999999999227,0.008432310981570488,10.70843231098157,10.704215325165261,0.015046407704646285,4.865046407704646,4.8575173779789544,NA,NA,NA,NA,NA,0.007963875205255027,-4.832839562760441,-0.2158698351589834,-0.0023985537239887044,416.91790765354955
A_up,6/8/11,14:35:00,11.2,8.49,5.13,0.706,0.5267499999999998,0.2921250000000004,706,98.52249999999992,0.5456632897745944,11.245663289774594,11.222808420599337,0.9736681136821594,5.823668113682159,5.465840962120054,0.0053464944555812145,-5.231314174786483,-0.03527604743744117,-3.9195608263823523e-4,2551.306241426473,0.0029650587429267492,-5.8208584346117584,-1.203888707010301,-0.013376541189003345,74.757740874157
A_up,6/8/11,14:42:00,13.4,NA,6.89,1.06,2.726750000000001,2.052125,1060,452.5224999999999,2.506279439184187,13.206279439184186,13.302787094630514,4.472143205600094,9.322143205600094,8.014335074513959,NA,NA,NA,NA,NA,0.004534857382782073,-5.395961644028156,-0.7789919164266985,-0.008655465738074427,115.53393315406606
A_up,6/8/11,14:44:00,42.1,NA,52.5,5.73,31.426750000000002,47.662125,5730,5122.5225,28.370904913033897,39.0709049130339,40.55718304861332,50.62434286451748,55.47434286451748,53.966684170765646,NA,NA,NA,NA,NA,0.009304424724342354,-4.677265215157822,-0.06029548755636416,-6.699498617373796e-4,1492.649013176452
A_up,6/8/11,14:45:00,81.3,NA,118,13.2,70.62675,113.162125,13200,12592.5225,69.74322874379564,80.44322874379564,80.87047976159525,124.44809692278577,129.29809692278576,123.5199394303961,NA,NA,NA,NA,NA,0.008986454064306815,-4.712036939418609,-0.09506721181715161,-0.0010563023535239068,946.6986385705969
A_up,6/8/11,14:45:15,104,NA,140,17.9,93.32675,135.162125,17900,17292.5225,95.77400812861225,106.47400812861225,105.2297336562992,170.89677752169618,175.74677752169617,156.8583719571175,0.00539694252241106,-5.221922685316913,-0.02588455796787059,-2.876061996430066e-4,3476.976508994791,0.007816217963573563,-4.851554477786376,-0.23458475018491853,-0.0026064972242768724,383.6566525703601
A_up,6/8/11,14:46:30,117,NA,218,23.5,106.32675,213.162125,23500,22892.5225,126.78940484243633,137.48940484243633,126.83162210807308,226.23988632039797,231.08988632039797,224.44953824378166,0.004644606115381126,-5.372048707861662,-0.17601058051261997,-0.0019556731168068886,511.3328967945026,0.00931143018424466,-4.676512581419817,-0.059542853818359553,-6.615872646484395e-4,1511.5163991728127
A_up,6/8/11,14:47:00,140,NA,225,24.2,129.32675,220.162125,24200,23592.5225,130.66632943166434,141.36632943166433,140.68150596447634,233.1577749202357,238.0077749202357,231.41250907643914,0.005481683868268008,-5.20634294999019,-0.010304822641147737,-1.1449802934608597e-4,8733.774770719967,0.009331860338376281,-4.674320890818326,-0.05735116321686817,-6.372351468540908e-4,1569.2794173968755
A_up,6/8/11,14:47:30,141,NA,236,26.5,130.32675,231.162125,26500,25892.5225,143.40479593912778,154.10479593912777,147.4068391473646,255.8879803197025,260.7379803197025,248.06080576231687,0.0050333740175373025,-5.291664740907604,-0.0956266135585615,-0.001062517928428461,941.1605896185399,0.008927756073206077,-4.718590195265921,-0.1016204676644632,-0.0011291163073829243,885.6483547897814
A_up,6/8/11,14:48:00,153,NA,253,29.8,142.32675,248.162125,29800,29192.5225,161.6817261454884,172.3817261454884,162.40198305519462,288.5008837189375,293.3508837189375,272.4293919181467,0.004875452266928972,-5.323542406132069,-0.12750427878302695,-0.0014167142087002994,705.85866497196,0.008500879805779031,-4.767585614280062,-0.15061588667860448,-0.0016735098519844943,597.546527027715
