Site,Date,Q,NO3,PO4,NH4
P-In,7/23/10,135,10,3,9
P-In,7/30/10,313.8,2,2,11
P-In,9/20/10,77.1,21,2,8
P-In,9/28/10,59.2,19,1,12
P-In,9/28/10,59.2,19,1,12
P-In,6/1/11,490.9,23.3,5,7.6
P-In,6/7/11,239,9.5,3.6,11.5
P-In,6/8/11,188.8,11,5,13.5
P-In,6/13/11,60.5,15.1,2.6,9.4
P-In,6/13/11,60.5,19.2,3.6,6.2
P-In,6/14/11,57.2,17.2,2.2,3.1
P-In,6/20/11,32,32.9,4.7,6.8
P-In,6/20/11,32,44.4,4.1,9.8
P-In,6/27/11,33.9,51.8,3.8,12.4
P-In,6/27/11,33.9,52.7,3.1,11.2
P-In,7/4/11,28.8,55.7,2.4,14
P-In,7/5/11,30.1,46.5,2.2,13.9
P-In,7/8/11,27.9,73.3,3.4,13.6
P-In,7/8/11,27.9,74.5,3.1,11.8
P-In,7/11/11,22.2,75.8,3.4,10.3
P-In,7/11/11,22.2,77.1,3.5,10.3
P-In,7/21/11,27.7,53.8,3.7,25.9
P-In,7/21/11,27.7,53.7,4.7,18.3
P-In,7/26/11,29.6,42.4,5.7,23.6
P-In,7/26/11,29.6,47.2,3.8,19.4
P-In,8/2/11,32,35.8,3.9,39
P-In,8/3/11,28.4,35.4,4.5,14.3
P-In,8/3/11,28.4,45.7,3.9,14.2
P-In,8/8/11,19.1,39.9,4.4,32.2
P-In,8/8/11,19.1,47.3,4.1,10.2
P-In,8/15/11,16.3,31.8,1.6,9.9
P-In,8/15/11,16.3,46,1.5,6.7
P-In,8/18/11,14.7,36,2.2,12
P-In,8/18/11,14.7,49.9,2.7,8.2
P-In,8/22/11,11.7,44.2,1.6,26.1
P-In,8/22/11,11.7,57.4,1.8,10.9
P-In,8/25/11,10,46.6,3.2,15.6
P-In,8/25/11,10,59.9,1,11.5
P-In,8/29/11,8.7,55.5,1.9,18.4
P-In,8/29/11,8.7,67.1,2.9,11.7
P-In,9/1/11,8.6,44.5,2,12.3
P-In,9/1/11,8.6,55,2.2,8.2
P-In,9/5/11,10,47.3,2.1,18.8
P-In,9/5/11,10,58.7,2,12.3
P-In,9/8/11,13.1,59.4,2,19.6
P-In,9/8/11,13.1,58.1,2.4,12.5
P-In,9/12/11,18,38.5,2.4,20.3
P-In,9/12/11,18,29.4,3.1,12.4
P-In,9/15/11,27.5,38,3.4,16.1
P-In,9/15/11,27.5,34.9,1.3,10.2
P-In,9/19/11,48.9,19.7,2.8,13.3
P-In,9/19/11,48.9,22.2,4.8,16.1
P-In,9/22/11,49.3,15.7,1.6,14.1
P-In,9/22/11,49.3,15.4,3.7,9
P-In,9/26/11,40.6,19.8,3.7,13.1
P-In,9/26/11,40.6,23.5,0.3,16.1
