Site,Location,Date,NO3-Sw y-int,NO3-Sw R2,NO3-Sw p,P-Sw y-int,P-Sw R2,P-Sw p,NH4-Sw y-int,NH4-Sw R2,NH4-Sw p
I8-In,I8-In 500 M,7/21/10,-9768,0.94,0.16,1325,0.67,0.001,-1404,0.86,0.02
I8-In,I8-In 500 M,7/28/10,1245,0.68,0.01,179.2,0.48,0.001,375,0.49,0.0009
I8-In,I8-In 500 M,9/18/10,120304,0.79,0.3,339,0.64,0.001,409,0.9822,3.46E-09
I8-In,I8-In 500 M,9/25/10,-87750,0.63,0.21,215,0.893,3.74E-05,906,0.04,0.59
I8-In,I8-In 500 M,6/6/11,NA,NA,NA,179,0.65,1.59E-03,236,0.13,0.27
I8-In,I8-In 500 M,6/12/11,,,,,,,,,
I8-In,I8-In,7/19/11,,,,,,,,,
I8-In,I8-In,8/13/11,,,,,,,,,
I8-In,I8-In,9/9/11,,,,,,,,,
I8-Out,I8-Out-360,7/19/10,,,,,,,,,
I8-Out,I8-Out-360,7/26/10,,,,,,,,,
I8-Out,I8-Out-360,9/16/10,,,,,,,,,
I8-Out,I8-Out-360,9/23/10,,,,,,,,,
I8-Out,I8-Out-260,6/4/11,,,,,,,,,
I8-Out,I8-Out-360,6/10/11,,,,,,,,,
I8-Out,I8-Out-260,7/16/11,,,,,,,,,
I8-Out,I8-Out-260,9/2/11,678.5,0.46,0.0004,,,,,,
P-In,Pin,7/23/10,,,,,,,,,
P-In,Pin,7/30/10,,,,,,,,,
P-In,Pin,9/20/10,,,,,,,,,
P-In,Pin,6/8/11,,,,,,,,,
P-In,Pin,6/14/11,,,,,,,,,
P-In,Pin,7/5/11,,,,,,,,,
P-In,Pin,8/2/11,,,,,,,,,
